locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDHOFBHF_00001	gene	402				
JDHOFBHF_00001	CDS	402				hypothetical protein
JDHOFBHF_00002	gene	528				
JDHOFBHF_00002	CDS	528				hypothetical protein
JDHOFBHF_00003	gene	501	uxuA_1			
JDHOFBHF_00003	CDS	501	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
JDHOFBHF_00004	gene	309				
JDHOFBHF_00004	CDS	309				hypothetical protein
JDHOFBHF_00005	gene	384				
JDHOFBHF_00005	CDS	384				hypothetical protein
JDHOFBHF_00006	gene	582				
JDHOFBHF_00006	CDS	582				IS21 family transposase ISPve1
JDHOFBHF_00007	gene	546	fixK_1			
JDHOFBHF_00007	CDS	546	fixK_1		COG0664	Nitrogen fixation regulation protein FixK
JDHOFBHF_00008	gene	363				
JDHOFBHF_00008	CDS	363				IS630 family transposase ISPye35
JDHOFBHF_00009	gene	324				
JDHOFBHF_00009	CDS	324				hypothetical protein
JDHOFBHF_00010	gene	831				
JDHOFBHF_00010	CDS	831				IS3 family transposase ISMch1
JDHOFBHF_00011	gene	588				
JDHOFBHF_00011	CDS	588				hypothetical protein
JDHOFBHF_00012	gene	312				
JDHOFBHF_00012	CDS	312				hypothetical protein
JDHOFBHF_00013	gene	282				
JDHOFBHF_00013	CDS	282				hypothetical protein
JDHOFBHF_00014	gene	960				
JDHOFBHF_00014	CDS	960				IS1182 family transposase ISRssp12
JDHOFBHF_00015	gene	1110				
JDHOFBHF_00015	CDS	1110				IS630 family transposase ISAzs31
JDHOFBHF_00016	gene	858				
JDHOFBHF_00016	CDS	858				IS3 family transposase ISRosp1
JDHOFBHF_00017	gene	276				
JDHOFBHF_00017	CDS	276				IS3 family transposase ISRosp1
JDHOFBHF_00018	gene	1038				
JDHOFBHF_00018	CDS	1038				hypothetical protein
JDHOFBHF_00019	gene	1077				
JDHOFBHF_00019	CDS	1077				hypothetical protein
JDHOFBHF_00020	gene	77				
JDHOFBHF_00020	tRNA	77				tRNA-Met(cat)
JDHOFBHF_00021	gene	1077				
JDHOFBHF_00021	CDS	1077				hypothetical protein
JDHOFBHF_00022	gene	1044				
JDHOFBHF_00022	CDS	1044			COG3039	IS5 family transposase ISPmar3
JDHOFBHF_00023	gene	549				
JDHOFBHF_00023	CDS	549				hypothetical protein
JDHOFBHF_00024	gene	219				
JDHOFBHF_00024	CDS	219				hypothetical protein
JDHOFBHF_00025	gene	153				
JDHOFBHF_00025	CDS	153				hypothetical protein
JDHOFBHF_00026	gene	246				
JDHOFBHF_00026	CDS	246				hypothetical protein
JDHOFBHF_00027	gene	267	parE4			
JDHOFBHF_00027	CDS	267	parE4		COG3668	Toxin ParE4
JDHOFBHF_00028	gene	309				
JDHOFBHF_00028	CDS	309				hypothetical protein
JDHOFBHF_00029	gene	561				
JDHOFBHF_00029	CDS	561				hypothetical protein
JDHOFBHF_00030	gene	1116	appC			
JDHOFBHF_00030	CDS	1116	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
JDHOFBHF_00031	gene	1386				
JDHOFBHF_00031	CDS	1386				hypothetical protein
JDHOFBHF_00032	gene	726				
JDHOFBHF_00032	CDS	726				hypothetical protein
JDHOFBHF_00033	gene	366				
JDHOFBHF_00033	CDS	366				hypothetical protein
JDHOFBHF_00034	gene	495				
JDHOFBHF_00034	CDS	495				IS3 family transposase ISPa31
JDHOFBHF_00035	gene	1062				
JDHOFBHF_00035	CDS	1062				IS3 family transposase ISSba15
JDHOFBHF_00036	gene	387				
JDHOFBHF_00036	CDS	387				hypothetical protein
JDHOFBHF_00037	gene	963				
JDHOFBHF_00037	CDS	963				hypothetical protein
JDHOFBHF_00038	gene	378				
JDHOFBHF_00038	CDS	378				hypothetical protein
JDHOFBHF_00039	gene	744				
