locus_tag	ftype	length_bp	gene	EC_number	COG	product
LGINICCL_00001	gene	1203	phnA			
LGINICCL_00001	CDS	1203	phnA	3.11.1.2		Phosphonoacetate hydrolase
LGINICCL_00002	gene	141				
LGINICCL_00002	CDS	141				hypothetical protein
LGINICCL_00003	gene	618				
LGINICCL_00003	CDS	618				hypothetical protein
LGINICCL_00004	gene	1383	ectP			
LGINICCL_00004	CDS	1383	ectP		COG1292	Ectoine/glycine betaine/proline transporter EctP
LGINICCL_00005	gene	1029				
LGINICCL_00005	CDS	1029				IS110 family transposase ISMdi12
LGINICCL_00006	gene	168				
LGINICCL_00006	CDS	168				hypothetical protein
LGINICCL_00007	gene	1071	sucC_1			
LGINICCL_00007	CDS	1071	sucC_1	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
LGINICCL_00008	gene	822				
LGINICCL_00008	CDS	822				hypothetical protein
LGINICCL_00009	gene	810				
LGINICCL_00009	CDS	810				IS21 family transposase ISRel5
LGINICCL_00010	gene	1350				
LGINICCL_00010	CDS	1350				hypothetical protein
LGINICCL_00011	gene	459				
LGINICCL_00011	CDS	459				hypothetical protein
LGINICCL_00012	gene	105				
LGINICCL_00012	CDS	105				hypothetical protein
LGINICCL_00013	gene	720				
LGINICCL_00013	CDS	720				hypothetical protein
LGINICCL_00014	gene	759				
LGINICCL_00014	CDS	759				hypothetical protein
LGINICCL_00015	gene	138				
LGINICCL_00015	CDS	138				hypothetical protein
LGINICCL_00016	gene	1326				
LGINICCL_00016	CDS	1326				hypothetical protein
LGINICCL_00017	gene	462				
LGINICCL_00017	CDS	462				hypothetical protein
LGINICCL_00018	gene	240				
LGINICCL_00018	CDS	240				hypothetical protein
LGINICCL_00019	gene	270				
LGINICCL_00019	CDS	270				hypothetical protein
LGINICCL_00020	gene	846				
LGINICCL_00020	CDS	846				hypothetical protein
LGINICCL_00021	gene	1419	leuC			
LGINICCL_00021	CDS	1419	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
LGINICCL_00022	gene	606	leuD1			
LGINICCL_00022	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
LGINICCL_00023	gene	849				
LGINICCL_00023	CDS	849				hypothetical protein
LGINICCL_00024	gene	1029				
LGINICCL_00024	CDS	1029				hypothetical protein
LGINICCL_00025	gene	1179	dapL			
LGINICCL_00025	CDS	1179	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
LGINICCL_00026	gene	3432				
LGINICCL_00026	CDS	3432				hypothetical protein
LGINICCL_00027	gene	603				
LGINICCL_00027	CDS	603				hypothetical protein
LGINICCL_00028	gene	1101	flgI			
LGINICCL_00028	CDS	1101	flgI			Flagellar P-ring protein
LGINICCL_00029	gene	1008				
LGINICCL_00029	CDS	1008				hypothetical protein
LGINICCL_00030	gene	1410				
LGINICCL_00030	CDS	1410				hypothetical protein
LGINICCL_00031	gene	1323	flgE			
LGINICCL_00031	CDS	1323	flgE		COG1749	Flagellar hook protein FlgE
LGINICCL_00032	gene	843	motB			
LGINICCL_00032	CDS	843	motB		COG1360	Motility protein B
LGINICCL_00033	gene	591				
LGINICCL_00033	CDS	591				hypothetical protein
LGINICCL_00034	gene	405				
LGINICCL_00034	CDS	405				hypothetical protein
LGINICCL_00035	gene	2175	uvrB			
LGINICCL_00035	CDS	2175	uvrB		COG0556	UvrABC system protein B
LGINICCL_00036	gene	1818	bamA_1			
LGINICCL_00036	CDS	1818	bamA_1			Outer membrane protein assembly factor BamA
LGINICCL_00037	gene	4137				
LGINICCL_00037	CDS	4137				hypothetical protein
LGINICCL_00038	gene	801				
LGINICCL_00038	CDS	801				hypothetical protein
LGINICCL_00039	gene	1224	cfa			
LGINICCL_00039	CDS	1224	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
LGINICCL_00040	gene	570				
LGINICCL_00040	CDS	570				hypothetical protein
LGINICCL_00041	gene	465				
LGINICCL_00041	CDS	465				hypothetical protein
LGINICCL_00042	gene	1809	phaC			
LGINICCL_00042	CDS	1809	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
LGINICCL_00043	gene	1287				
LGINICCL_00043	CDS	1287				hypothetical protein
LGINICCL_00044	gene	1443				
LGINICCL_00044	CDS	1443				hypothetical protein
LGINICCL_00045	gene	1074	celY			
LGINICCL_00045	CDS	1074	celY	3.2.1.4	COG3405	Minor endoglucanase Y
LGINICCL_00046	gene	2244				
LGINICCL_00046	CDS	2244				hypothetical protein
LGINICCL_00047	gene	2445				
LGINICCL_00047	CDS	2445				hypothetical protein
LGINICCL_00048	gene	696				
LGINICCL_00048	CDS	696				hypothetical protein
LGINICCL_00049	gene	318				
LGINICCL_00049	CDS	318				hypothetical protein
LGINICCL_00050	gene	507	folA			
LGINICCL_00050	CDS	507	folA	1.5.1.3	COG0262	Dihydrofolate reductase
LGINICCL_00051	gene	780	thyA			
LGINICCL_00051	CDS	780	thyA	2.1.1.45	COG0207	Thymidylate synthase
LGINICCL_00052	gene	423	gloA_1			
LGINICCL_00052	CDS	423	gloA_1	4.4.1.5	COG0346	Lactoylglutathione lyase
LGINICCL_00053	gene	837				
LGINICCL_00053	CDS	837				IS481 family transposase ISChy3
LGINICCL_00054	gene	693	pglC			
LGINICCL_00054	CDS	693	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
LGINICCL_00055	gene	651				
LGINICCL_00055	CDS	651				hypothetical protein
LGINICCL_00056	gene	1611	pgi			
LGINICCL_00056	CDS	1611	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
LGINICCL_00057	gene	921	metR			
LGINICCL_00057	CDS	921	metR			HTH-type transcriptional regulator MetR
LGINICCL_00058	gene	867	metF			
LGINICCL_00058	CDS	867	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
LGINICCL_00059	gene	651				
LGINICCL_00059	CDS	651				hypothetical protein
LGINICCL_00060	gene	960	accA			
LGINICCL_00060	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
LGINICCL_00061	gene	1101	folE2			
LGINICCL_00061	CDS	1101	folE2			GTP cyclohydrolase FolE2
LGINICCL_00062	gene	1194	metZ			
LGINICCL_00062	CDS	1194	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
LGINICCL_00063	gene	606				
LGINICCL_00063	CDS	606				hypothetical protein
LGINICCL_00064	gene	750				
LGINICCL_00064	CDS	750				hypothetical protein
LGINICCL_00065	gene	936				
LGINICCL_00065	CDS	936				hypothetical protein
LGINICCL_00066	gene	672	ftsE			
LGINICCL_00066	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
LGINICCL_00067	gene	834				
LGINICCL_00067	CDS	834				hypothetical protein
LGINICCL_00068	gene	1194	aruH			
LGINICCL_00068	CDS	1194	aruH	2.6.1.84	COG0436	Arginine--pyruvate transaminase AruH
LGINICCL_00069	gene	909	kce_1			
LGINICCL_00069	CDS	909	kce_1	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
LGINICCL_00070	gene	516	blc			
LGINICCL_00070	CDS	516	blc		COG3040	Outer membrane lipoprotein Blc
LGINICCL_00071	gene	1458	lcdH			
LGINICCL_00071	CDS	1458	lcdH	1.1.1.108		L-carnitine dehydrogenase
LGINICCL_00072	gene	1164	acdA_1			
LGINICCL_00072	CDS	1164	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
LGINICCL_00073	gene	1371				
LGINICCL_00073	CDS	1371				hypothetical protein
LGINICCL_00074	gene	891	mepA			
LGINICCL_00074	CDS	891	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
LGINICCL_00075	gene	474	yccU			
LGINICCL_00075	CDS	474	yccU		COG1832	putative protein YccU
LGINICCL_00076	gene	1083				
LGINICCL_00076	CDS	1083				hypothetical protein
LGINICCL_00077	gene	927	araD			
LGINICCL_00077	CDS	927	araD	4.2.1.43		L-2-keto-3-deoxyarabonate dehydratase
LGINICCL_00078	gene	1152				
LGINICCL_00078	CDS	1152		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
LGINICCL_00079	gene	453				
LGINICCL_00079	CDS	453				hypothetical protein
LGINICCL_00080	gene	975	yqjG			
LGINICCL_00080	CDS	975	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
LGINICCL_00081	gene	1212				
LGINICCL_00081	CDS	1212				hypothetical protein
LGINICCL_00082	gene	1575	lig			
LGINICCL_00082	CDS	1575	lig	6.5.1.1		DNA ligase
LGINICCL_00083	gene	1011				
LGINICCL_00083	CDS	1011				hypothetical protein
LGINICCL_00084	gene	2406				
LGINICCL_00084	CDS	2406				hypothetical protein
LGINICCL_00085	gene	672				
LGINICCL_00085	CDS	672			COG1136	putative ABC transporter ATP-binding protein
LGINICCL_00086	gene	909	mhqO			
LGINICCL_00086	CDS	909	mhqO	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqO
LGINICCL_00087	gene	663				
LGINICCL_00087	CDS	663				hypothetical protein
LGINICCL_00088	gene	396	crcB_1			
LGINICCL_00088	CDS	396	crcB_1			Putative fluoride ion transporter CrcB
LGINICCL_00089	gene	378	crcB_2			
