locus_tag	ftype	length_bp	gene	EC_number	COG	product
COIJCJLD_00001	gene	684	nanR_1			
COIJCJLD_00001	CDS	684	nanR_1			HTH-type transcriptional repressor NanR
COIJCJLD_00002	gene	582				
COIJCJLD_00002	CDS	582				hypothetical protein
COIJCJLD_00003	gene	2124	fusA_1			
COIJCJLD_00003	CDS	2124	fusA_1		COG0480	Elongation factor G
COIJCJLD_00004	gene	471	rpsG			
COIJCJLD_00004	CDS	471	rpsG		COG0049	30S ribosomal protein S7
COIJCJLD_00005	gene	372	rpsL			
COIJCJLD_00005	CDS	372	rpsL		COG0048	30S ribosomal protein S12
COIJCJLD_00006	gene	615	echA6			
COIJCJLD_00006	CDS	615	echA6	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA6
COIJCJLD_00007	gene	750	hcaB_1			
COIJCJLD_00007	CDS	750	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
COIJCJLD_00008	gene	1506				
COIJCJLD_00008	CDS	1506				hypothetical protein
COIJCJLD_00009	gene	504				
COIJCJLD_00009	CDS	504				hypothetical protein
COIJCJLD_00010	gene	1347	pmbA			
COIJCJLD_00010	CDS	1347	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
COIJCJLD_00011	gene	780	suhB_1			
COIJCJLD_00011	CDS	780	suhB_1	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
COIJCJLD_00012	gene	246				
COIJCJLD_00012	CDS	246				hypothetical protein
COIJCJLD_00013	gene	1212	waaA_1			
COIJCJLD_00013	CDS	1212	waaA_1	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
COIJCJLD_00014	gene	1002	lpxK			
COIJCJLD_00014	CDS	1002	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
COIJCJLD_00015	gene	330	hspQ			
COIJCJLD_00015	CDS	330	hspQ			Heat shock protein HspQ
COIJCJLD_00016	gene	579				
COIJCJLD_00016	CDS	579				hypothetical protein
COIJCJLD_00017	gene	618	lolA			
COIJCJLD_00017	CDS	618	lolA			Outer-membrane lipoprotein carrier protein
COIJCJLD_00018	gene	2955				
COIJCJLD_00018	CDS	2955				hypothetical protein
COIJCJLD_00019	gene	1179	dapL			
COIJCJLD_00019	CDS	1179	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
COIJCJLD_00020	gene	1359	cnbH			
COIJCJLD_00020	CDS	1359	cnbH	3.5.99.5		2-amino-5-chloromuconic acid deaminase
COIJCJLD_00021	gene	1263	ubiL_1			
COIJCJLD_00021	CDS	1263	ubiL_1	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
COIJCJLD_00022	gene	708	dhlB			
COIJCJLD_00022	CDS	708	dhlB	3.8.1.2		(S)-2-haloacid dehalogenase
COIJCJLD_00023	gene	345	ygaV			
COIJCJLD_00023	CDS	345	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
COIJCJLD_00024	gene	1398	ribZ			
COIJCJLD_00024	CDS	1398	ribZ			Riboflavin transporter RibZ
COIJCJLD_00025	gene	948	gsiC_1			
COIJCJLD_00025	CDS	948	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
COIJCJLD_00026	gene	825	gsiD_1			
COIJCJLD_00026	CDS	825	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
COIJCJLD_00027	gene	1614	gsiA_1			
COIJCJLD_00027	CDS	1614	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
COIJCJLD_00028	gene	1449	mpdC_1			
COIJCJLD_00028	CDS	1449	mpdC_1	1.2.1.98		Hydroxyisobutyraldehyde dehydrogenase
COIJCJLD_00029	gene	741	tsaC1_1			
COIJCJLD_00029	CDS	741	tsaC1_1	1.2.1.62		4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
COIJCJLD_00030	gene	936	ghrA			
COIJCJLD_00030	CDS	936	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
COIJCJLD_00031	gene	1365	ipuC			
COIJCJLD_00031	CDS	1365	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
COIJCJLD_00032	gene	369				
