#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000011.1.region001	3	3
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000016.1.region001	4	4
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000001.1.region001	7	7
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000006.1.region001	8	8
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region001	9	9
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region001	12	12
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000030.1.region001	17	17
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000055.1.region001	22	22
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000065.1.region001	23	23
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region002	30	30
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region001	30	30
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.1.region001	30	30
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.1.region002	30	30
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region003	31	31
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region002	31	31
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.1.region002	31	31
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.1.region001	37	37
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000027.1.region001	39	39
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.1.region002	45	45
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.1.region002	51	51
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000089.1.region001	54	54
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000251.1.region001	58	58
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000318.1.region001	59	59
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000007.1.region001	61	61
