locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNEFEBPL_00001	gene	144	flhA_1			
MNEFEBPL_00001	CDS	144	flhA_1	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
MNEFEBPL_00002	gene	1803	moxF			
MNEFEBPL_00002	CDS	1803	moxF	1.1.2.7	COG4993	Methanol dehydrogenase [cytochrome c] subunit 1
MNEFEBPL_00003	gene	519	cycB			
MNEFEBPL_00003	CDS	519	cycB			Cytochrome c-553I
MNEFEBPL_00004	gene	807				
MNEFEBPL_00004	CDS	807				hypothetical protein
MNEFEBPL_00005	gene	540				
MNEFEBPL_00005	CDS	540				hypothetical protein
MNEFEBPL_00006	gene	504				
MNEFEBPL_00006	CDS	504				hypothetical protein
MNEFEBPL_00007	gene	1176				
MNEFEBPL_00007	CDS	1176				hypothetical protein
MNEFEBPL_00008	gene	963				
MNEFEBPL_00008	CDS	963				Hydrazine synthase subunit beta
MNEFEBPL_00009	gene	723	lnrL			
MNEFEBPL_00009	CDS	723	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
MNEFEBPL_00010	gene	813				
MNEFEBPL_00010	CDS	813				hypothetical protein
MNEFEBPL_00011	gene	609				
MNEFEBPL_00011	CDS	609				hypothetical protein
MNEFEBPL_00012	gene	1047				
MNEFEBPL_00012	CDS	1047				hypothetical protein
MNEFEBPL_00013	gene	801				
MNEFEBPL_00013	CDS	801				hypothetical protein
MNEFEBPL_00014	gene	588	ssuB			
MNEFEBPL_00014	CDS	588	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
MNEFEBPL_00015	gene	735	ssuC			
MNEFEBPL_00015	CDS	735	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
MNEFEBPL_00016	gene	969				
MNEFEBPL_00016	CDS	969				hypothetical protein
MNEFEBPL_00017	gene	711	lnrK_1			
MNEFEBPL_00017	CDS	711	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
MNEFEBPL_00018	gene	1092				
MNEFEBPL_00018	CDS	1092				hypothetical protein
MNEFEBPL_00019	gene	1347	rcsC_1			
MNEFEBPL_00019	CDS	1347	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MNEFEBPL_00020	gene	651				
MNEFEBPL_00020	CDS	651				hypothetical protein
MNEFEBPL_00021	gene	336				
MNEFEBPL_00021	CDS	336				hypothetical protein
MNEFEBPL_00022	gene	1119	rlp			
MNEFEBPL_00022	CDS	1119	rlp	5.3.3.-	COG1850	5-methylthioribulose-1-phosphate isomerase
MNEFEBPL_00023	gene	1002	aptB			
MNEFEBPL_00023	CDS	1002	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
MNEFEBPL_00024	gene	930	aptA			
MNEFEBPL_00024	CDS	930	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
MNEFEBPL_00025	gene	1041				
MNEFEBPL_00025	CDS	1041				hypothetical protein
MNEFEBPL_00026	gene	1014	rbsC_1			
MNEFEBPL_00026	CDS	1014	rbsC_1		COG1172	Ribose import permease protein RbsC
MNEFEBPL_00027	gene	1515	araG			
MNEFEBPL_00027	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
MNEFEBPL_00028	gene	1266	mtnK			
MNEFEBPL_00028	CDS	1266	mtnK	2.7.1.100	COG4857	Methylthioribose kinase
MNEFEBPL_00029	gene	1098	mtnA			
MNEFEBPL_00029	CDS	1098	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
MNEFEBPL_00030	gene	969	deoR			
MNEFEBPL_00030	CDS	969	deoR		COG2390	Deoxyribonucleoside regulator
