BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.region001	NZ_ATVN01000003	Pseudorhodobacter ferrugineus strain DSM 5888	RiPP-like	RiPPs	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000012.region001	NZ_AUND01000012	Thioclava pacifica strain DSM 10166	RiPP-like	RiPPs	Thioclava pacifica DSM 10166..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000018.region001	NZ_JFGS01000018	Haematobacter missouriensis strain CCUG52307	RiPP-like	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.region001	NZ_PHSN01000005	Acidimangrovimonas sediminis strain MS2-2	RiPP-like	RiPPs	Acidimangrovimonas sediminis MS2-2..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.region003	NZ_PJON01000001	Tabrizicola aquatica strain RCRI19	RiPP-like	RiPPs	Tabrizicola aquatica RCRI19..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000006.region001	NZ_PRDS01000006	Albidovulum inexpectatum strain DSM 12048	RiPP-like	RiPPs	Albidovulum inexpectatum DSM 12048..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000002.region001	NZ_PZKE01000002	Fuscovulum blasticum strain DSM 2131	RRE-containing	RiPPs	Fuscovulum blasticum DSM 2131..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000065.region001	NZ_PZKG01000065	Cereibacter changlensis strain JA139JA139	RRE-containing	RiPPs	Cereibacter changlensis JA139JA139..	
GCF_003075525.1_Pararhodobacter_aggregans_D1-19-NZ_QDDR01000001.region001	NZ_QDDR01000001	Pararhodobacter aggregans strain D1-19	RiPP-like	RiPPs	Pararhodobacter aggregans D1-19..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000003.region001	NZ_QDKM01000003	Pararhodobacter oceanensis strain AM505	RiPP-like	RiPPs	Pararhodobacter oceanensis AM505..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000007.region002	NZ_QEYD01000007	Pararhodobacter marinus strain CIC4N-9	RiPP-like	RiPPs	Pararhodobacter marinus CIC4N-9..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000008.region001	NZ_QKZO01000008	Rhodobacter capsulatus strain DSM 1710	RiPP-like	RiPPs	Rhodobacter capsulatus DSM 1710..	
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000007.region001	NZ_QNHG01000007	Pseudogemmobacter bohemicus strain Cd-10	RRE-containing	RiPPs	Pseudogemmobacter bohemicus Cd-10..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000053.region001	NZ_QNVJ01000053	Alkalilacustris brevis strain 34079	RRE-containing	RiPPs	Alkalilacustris brevis 34079..	
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000002.region001	NZ_REEZ01000002	Pararhodobacter zhoushanensis strain ZQ420	RiPP-like	RiPPs	Pararhodobacter zhoushanensis ZQ420..	
