locus_tag	ftype	length_bp	gene	EC_number	COG	product
BMJDCPAI_00001	gene	588				
BMJDCPAI_00001	CDS	588				hypothetical protein
BMJDCPAI_00002	gene	1722				
BMJDCPAI_00002	CDS	1722				hypothetical protein
BMJDCPAI_00003	gene	1260				
BMJDCPAI_00003	CDS	1260				hypothetical protein
BMJDCPAI_00004	gene	537				
BMJDCPAI_00004	CDS	537				hypothetical protein
BMJDCPAI_00005	gene	153				
BMJDCPAI_00005	CDS	153				hypothetical protein
BMJDCPAI_00006	gene	345				
BMJDCPAI_00006	CDS	345				hypothetical protein
BMJDCPAI_00007	gene	1020				
BMJDCPAI_00007	CDS	1020		2.4.-.-		putative glycosyltransferase
BMJDCPAI_00008	gene	984				
BMJDCPAI_00008	CDS	984				hypothetical protein
BMJDCPAI_00009	gene	1323				
BMJDCPAI_00009	CDS	1323				hypothetical protein
BMJDCPAI_00010	gene	1995				
BMJDCPAI_00010	CDS	1995				hypothetical protein
BMJDCPAI_00011	gene	1704				
BMJDCPAI_00011	CDS	1704				hypothetical protein
BMJDCPAI_00012	gene	738				
BMJDCPAI_00012	CDS	738		1.-.-.-	COG1028	putative oxidoreductase
BMJDCPAI_00013	gene	1329	dprE1			
BMJDCPAI_00013	CDS	1329	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
BMJDCPAI_00014	gene	1581				
BMJDCPAI_00014	CDS	1581				hypothetical protein
BMJDCPAI_00015	gene	1044				
BMJDCPAI_00015	CDS	1044				IS110 family transposase ISMdi12
BMJDCPAI_00016	gene	387				
BMJDCPAI_00016	CDS	387			COG3039	IS5 family transposase ISRosp6
BMJDCPAI_00017	gene	252				
BMJDCPAI_00017	CDS	252				hypothetical protein
BMJDCPAI_00018	gene	288				
BMJDCPAI_00018	CDS	288				hypothetical protein
BMJDCPAI_00019	gene	378				
BMJDCPAI_00019	CDS	378				hypothetical protein
BMJDCPAI_00020	gene	1413	lpdG			
BMJDCPAI_00020	CDS	1413	lpdG	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
BMJDCPAI_00021	gene	1272				
BMJDCPAI_00021	CDS	1272				hypothetical protein
BMJDCPAI_00022	gene	279				
BMJDCPAI_00022	CDS	279				hypothetical protein
BMJDCPAI_00023	gene	606				
BMJDCPAI_00023	CDS	606				hypothetical protein
BMJDCPAI_00024	gene	933				
BMJDCPAI_00024	CDS	933			COG3039	IS5 family transposase ISPpa4
BMJDCPAI_00025	gene	648	lnrK_1			
BMJDCPAI_00025	CDS	648	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
BMJDCPAI_00026	gene	2952	rcsC_1			
BMJDCPAI_00026	CDS	2952	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BMJDCPAI_00027	gene	75				
BMJDCPAI_00027	tRNA	75				tRNA-Glu(ttc)
BMJDCPAI_00028	gene	1764	recJ			
BMJDCPAI_00028	CDS	1764	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
BMJDCPAI_00029	gene	555	yecD			
BMJDCPAI_00029	CDS	555	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
BMJDCPAI_00030	gene	963	glpX			
BMJDCPAI_00030	CDS	963	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
BMJDCPAI_00031	gene	1287	hom			
BMJDCPAI_00031	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
BMJDCPAI_00032	gene	726	hyi			
BMJDCPAI_00032	CDS	726	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
BMJDCPAI_00033	gene	1908	speA			
BMJDCPAI_00033	CDS	1908	speA	4.1.1.19		Biosynthetic arginine decarboxylase
BMJDCPAI_00034	gene	1224				
BMJDCPAI_00034	CDS	1224		1.5.1.43		Carboxynorspermidine synthase
BMJDCPAI_00035	gene	1167	nspC			
BMJDCPAI_00035	CDS	1167	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
BMJDCPAI_00036	gene	855				
BMJDCPAI_00036	CDS	855		3.5.3.24	COG0010	N(1)-aminopropylagmatine ureohydrolase
BMJDCPAI_00037	gene	2418	gyrB_1			
BMJDCPAI_00037	CDS	2418	gyrB_1	5.6.2.2		DNA gyrase subunit B
BMJDCPAI_00038	gene	480				
BMJDCPAI_00038	CDS	480				hypothetical protein
BMJDCPAI_00039	gene	381				
BMJDCPAI_00039	CDS	381				hypothetical protein
BMJDCPAI_00040	gene	399				
BMJDCPAI_00040	CDS	399				hypothetical protein
BMJDCPAI_00041	gene	588				
BMJDCPAI_00041	CDS	588				hypothetical protein
BMJDCPAI_00042	gene	870				
BMJDCPAI_00042	CDS	870				hypothetical protein
BMJDCPAI_00043	gene	219	infA			
BMJDCPAI_00043	CDS	219	infA			Translation initiation factor IF-1
BMJDCPAI_00044	gene	570	yhdE_1			
BMJDCPAI_00044	CDS	570	yhdE_1	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
BMJDCPAI_00045	gene	1038	rng			
BMJDCPAI_00045	CDS	1038	rng	3.1.26.-	COG1530	Ribonuclease G
BMJDCPAI_00046	gene	183	yacG			
BMJDCPAI_00046	CDS	183	yacG			DNA gyrase inhibitor YacG
BMJDCPAI_00047	gene	75				
BMJDCPAI_00047	tRNA	75				tRNA-Phe(gaa)
BMJDCPAI_00048	gene	1212	yciC			
BMJDCPAI_00048	CDS	1212	yciC		COG0523	Putative metal chaperone YciC
BMJDCPAI_00049	gene	315				
BMJDCPAI_00049	CDS	315				hypothetical protein
BMJDCPAI_00050	gene	225				
BMJDCPAI_00050	CDS	225				hypothetical protein
BMJDCPAI_00051	gene	1170				
BMJDCPAI_00051	CDS	1170				hypothetical protein
BMJDCPAI_00052	gene	885	fdhC			
BMJDCPAI_00052	CDS	885	fdhC			Fructose dehydrogenase cytochrome subunit
BMJDCPAI_00053	gene	456	cycP			
BMJDCPAI_00053	CDS	456	cycP			Cytochrome c'
BMJDCPAI_00054	gene	537	hpt			
BMJDCPAI_00054	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
BMJDCPAI_00055	gene	447	pasT			
BMJDCPAI_00055	CDS	447	pasT		COG2867	Persistence and stress-resistance toxin PasT
BMJDCPAI_00056	gene	468	pncC			
BMJDCPAI_00056	CDS	468	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
BMJDCPAI_00057	gene	498				
BMJDCPAI_00057	CDS	498				hypothetical protein
BMJDCPAI_00058	gene	633				
BMJDCPAI_00058	CDS	633				hypothetical protein
BMJDCPAI_00059	gene	1152	ispDF			
BMJDCPAI_00059	CDS	1152	ispDF	4.6.1.12		Bifunctional enzyme IspD/IspF
BMJDCPAI_00060	gene	987	dusB			
BMJDCPAI_00060	CDS	987	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
BMJDCPAI_00061	gene	1107	glnL			
