BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000011.region001	NZ_ATVN01000011	Pseudorhodobacter ferrugineus strain DSM 5888	ectoine	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000016.region001	NZ_ATVN01000016	Pseudorhodobacter ferrugineus strain DSM 5888	hserlactone	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000001.region001	NZ_AUND01000001	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000006.region001	NZ_AUND01000006	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.region001	NZ_AUND01000023	Thioclava pacifica strain DSM 10166	ectoine	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.region002	NZ_AUND01000023	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000039.region001	NZ_AUND01000039	Thioclava pacifica strain DSM 10166	redox-cofactor	Others	Thioclava pacifica DSM 10166..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.region001	NZ_JFGS01000001	Haematobacter missouriensis strain CCUG52307	ectoine	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000028.region001	NZ_JFGS01000028	Haematobacter missouriensis strain CCUG52307	redox-cofactor	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000030.region001	NZ_JFGS01000030	Haematobacter missouriensis strain CCUG52307	NAGGN	Others	Haematobacter missouriensis CCUG52307..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000052.region001	NZ_LGIC01000052	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000055.region001	NZ_LGIC01000055	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000065.region001	NZ_LGIC01000065	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.region002	NZ_FBYC01000004	Roseibaca calidilacus strain HL-91	ectoine	Others	Roseibaca calidilacus HL-91..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region002	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	ectoine	Others	Rhodobaca barguzinensis alga05..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region003	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	hserlactone	Others	Rhodobaca barguzinensis alga05..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.region001	NZ_MEHT01000009	Roseinatronobacter thiooxidans strain ALG1	ectoine.terpene	Others	Roseinatronobacter thiooxidans ALG1..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.region002	NZ_MEHT01000009	Roseinatronobacter thiooxidans strain ALG1	hserlactone	Others	Roseinatronobacter thiooxidans ALG1..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.region002	NZ_PHSN01000005	Acidimangrovimonas sediminis strain MS2-2	hserlactone	Others	Acidimangrovimonas sediminis MS2-2..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000027.region001	NZ_PHSN01000027	Acidimangrovimonas sediminis strain MS2-2	ectoine	Others	Acidimangrovimonas sediminis MS2-2..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000007.region001	NZ_PJON01000007	Tabrizicola aquatica strain RCRI19	hserlactone	Others	Tabrizicola aquatica RCRI19..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.region001	NZ_PRDS01000005	Albidovulum inexpectatum strain DSM 12048	hserlactone	Others	Albidovulum inexpectatum DSM 12048..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.region002	NZ_PRDS01000005	Albidovulum inexpectatum strain DSM 12048	hserlactone	Others	Albidovulum inexpectatum DSM 12048..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000012.region001	NZ_PZKE01000012	Fuscovulum blasticum strain DSM 2131	hserlactone	Others	Fuscovulum blasticum DSM 2131..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.region002	NZ_PZKG01000002	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000089.region001	NZ_PZKG01000089	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000187.region001	NZ_PZKG01000187	Cereibacter changlensis strain JA139JA139	redox-cofactor	Others	Cereibacter changlensis JA139JA139..	
