locus_tag	ftype	length_bp	gene	EC_number	COG	product
MKLBNFHE_00001	gene	699				
MKLBNFHE_00001	CDS	699				hypothetical protein
MKLBNFHE_00002	gene	894				
MKLBNFHE_00002	CDS	894				hypothetical protein
MKLBNFHE_00003	gene	936				
MKLBNFHE_00003	CDS	936				hypothetical protein
MKLBNFHE_00004	gene	183				
MKLBNFHE_00004	CDS	183				hypothetical protein
MKLBNFHE_00005	gene	3078	rapA			
MKLBNFHE_00005	CDS	3078	rapA	3.6.4.-		RNA polymerase-associated protein RapA
MKLBNFHE_00006	gene	3096				
MKLBNFHE_00006	CDS	3096				hypothetical protein
MKLBNFHE_00007	gene	126				
MKLBNFHE_00007	CDS	126				hypothetical protein
MKLBNFHE_00008	gene	549				
MKLBNFHE_00008	CDS	549				hypothetical protein
MKLBNFHE_00009	gene	852				
MKLBNFHE_00009	CDS	852				hypothetical protein
MKLBNFHE_00010	gene	1554				
MKLBNFHE_00010	CDS	1554				hypothetical protein
MKLBNFHE_00011	gene	492	vsr_1			
MKLBNFHE_00011	CDS	492	vsr_1	3.1.-.-	COG3727	Very short patch repair protein
MKLBNFHE_00012	gene	231				
MKLBNFHE_00012	CDS	231				hypothetical protein
MKLBNFHE_00013	gene	225				
MKLBNFHE_00013	CDS	225				hypothetical protein
MKLBNFHE_00014	gene	543				
MKLBNFHE_00014	CDS	543				hypothetical protein
MKLBNFHE_00015	gene	4959	rep_1			
MKLBNFHE_00015	CDS	4959	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
MKLBNFHE_00016	gene	1077				
MKLBNFHE_00016	CDS	1077				hypothetical protein
MKLBNFHE_00017	gene	1086				
MKLBNFHE_00017	CDS	1086				hypothetical protein
MKLBNFHE_00018	gene	1665				
MKLBNFHE_00018	CDS	1665				hypothetical protein
MKLBNFHE_00019	gene	441	ohrR			
MKLBNFHE_00019	CDS	441	ohrR			Organic hydroperoxide resistance transcriptional regulator
MKLBNFHE_00020	gene	426	ohrB_1			
MKLBNFHE_00020	CDS	426	ohrB_1		COG1764	Organic hydroperoxide resistance protein OhrB
MKLBNFHE_00021	gene	498				
MKLBNFHE_00021	CDS	498				hypothetical protein
MKLBNFHE_00022	gene	753				
MKLBNFHE_00022	CDS	753				hypothetical protein
MKLBNFHE_00023	gene	930				
MKLBNFHE_00023	CDS	930			COG3039	IS5 family transposase IS4811
MKLBNFHE_00024	gene	288				
MKLBNFHE_00024	CDS	288				hypothetical protein
MKLBNFHE_00025	gene	4005				
MKLBNFHE_00025	CDS	4005				hypothetical protein
MKLBNFHE_00026	gene	117				
MKLBNFHE_00026	CDS	117				hypothetical protein
MKLBNFHE_00027	gene	498				
MKLBNFHE_00027	CDS	498				IS66 family transposase ISPre3
MKLBNFHE_00028	gene	1113				
MKLBNFHE_00028	CDS	1113				hypothetical protein
MKLBNFHE_00029	gene	816				
MKLBNFHE_00029	CDS	816				hypothetical protein
MKLBNFHE_00030	gene	1602	alkJ_1			
MKLBNFHE_00030	CDS	1602	alkJ_1	1.1.99.-		Alcohol dehydrogenase [acceptor]
MKLBNFHE_00031	gene	693	mcbR_1			
MKLBNFHE_00031	CDS	693	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
MKLBNFHE_00032	gene	1497	puuC_1			
MKLBNFHE_00032	CDS	1497	puuC_1	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
MKLBNFHE_00033	gene	864	aptA_1			
MKLBNFHE_00033	CDS	864	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
MKLBNFHE_00034	gene	987	aptB_1			
MKLBNFHE_00034	CDS	987	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
MKLBNFHE_00035	gene	1239				
MKLBNFHE_00035	CDS	1239				hypothetical protein
MKLBNFHE_00036	gene	1488	mglA_1			
MKLBNFHE_00036	CDS	1488	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
MKLBNFHE_00037	gene	1038	rbsC_1			
MKLBNFHE_00037	CDS	1038	rbsC_1		COG1172	Ribose import permease protein RbsC
MKLBNFHE_00038	gene	753				
MKLBNFHE_00038	CDS	753				hypothetical protein
MKLBNFHE_00039	gene	180				
MKLBNFHE_00039	CDS	180				hypothetical protein
MKLBNFHE_00040	gene	138				
MKLBNFHE_00040	CDS	138				hypothetical protein
MKLBNFHE_00041	gene	783	aroE_1			
MKLBNFHE_00041	CDS	783	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
MKLBNFHE_00042	gene	1137	gldA_1			
MKLBNFHE_00042	CDS	1137	gldA_1	1.1.1.6	COG0371	Glycerol dehydrogenase
MKLBNFHE_00043	gene	705	ygfF			
MKLBNFHE_00043	CDS	705	ygfF	1.-.-.-		putative oxidoreductase YgfF
MKLBNFHE_00044	gene	975	tdh_1			
MKLBNFHE_00044	CDS	975	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
MKLBNFHE_00045	gene	228				
MKLBNFHE_00045	CDS	228				hypothetical protein
MKLBNFHE_00046	gene	912	pgrR_1			
MKLBNFHE_00046	CDS	912	pgrR_1			HTH-type transcriptional regulator PgrR
MKLBNFHE_00047	gene	1005	yfmJ			
MKLBNFHE_00047	CDS	1005	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
MKLBNFHE_00048	gene	618	priA_1			
MKLBNFHE_00048	CDS	618	priA_1	3.6.4.-		primosomal protein N'
MKLBNFHE_00049	gene	1362				
MKLBNFHE_00049	CDS	1362		3.5.4.32	COG0402	8-oxoguanine deaminase
MKLBNFHE_00050	gene	84				
MKLBNFHE_00050	tRNA	84				tRNA-Tyr(gta)
MKLBNFHE_00051	gene	813	rlmB			
MKLBNFHE_00051	CDS	813	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
MKLBNFHE_00052	gene	1293	ccr			
MKLBNFHE_00052	CDS	1293	ccr	1.3.1.85	COG0604	Crotonyl-CoA carboxylase/reductase
MKLBNFHE_00053	gene	177				
MKLBNFHE_00053	CDS	177				hypothetical protein
MKLBNFHE_00054	gene	1542	recD2_1			
MKLBNFHE_00054	CDS	1542	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
MKLBNFHE_00055	gene	237				
