locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMFACILD_00001	gene	309	rpsJ			
MMFACILD_00001	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
MMFACILD_00002	gene	729	rplC			
MMFACILD_00002	CDS	729	rplC		COG0087	50S ribosomal protein L3
MMFACILD_00003	gene	621	rplD			
MMFACILD_00003	CDS	621	rplD		COG0088	50S ribosomal protein L4
MMFACILD_00004	gene	297	rplW			
MMFACILD_00004	CDS	297	rplW		COG0089	50S ribosomal protein L23
MMFACILD_00005	gene	351				
MMFACILD_00005	CDS	351				hypothetical protein
MMFACILD_00006	gene	840	rplB			
MMFACILD_00006	CDS	840	rplB		COG0090	50S ribosomal protein L2
MMFACILD_00007	gene	279	rpsS			
MMFACILD_00007	CDS	279	rpsS		COG0185	30S ribosomal protein S19
MMFACILD_00008	gene	381	rplV			
MMFACILD_00008	CDS	381	rplV		COG0091	50S ribosomal protein L22
MMFACILD_00009	gene	729	rpsC			
MMFACILD_00009	CDS	729	rpsC		COG0092	30S ribosomal protein S3
MMFACILD_00010	gene	414	rplP			
MMFACILD_00010	CDS	414	rplP		COG0197	50S ribosomal protein L16
MMFACILD_00011	gene	660				
MMFACILD_00011	CDS	660				hypothetical protein
MMFACILD_00012	gene	957				
MMFACILD_00012	CDS	957				hypothetical protein
MMFACILD_00013	gene	486				
MMFACILD_00013	CDS	486		1.11.1.15		Peroxiredoxin
MMFACILD_00014	gene	1200	ddmA1			
MMFACILD_00014	CDS	1200	ddmA1	1.18.1.3		Dicamba O-demethylase 1, ferredoxin reductase component
MMFACILD_00015	gene	561	rsmD			
MMFACILD_00015	CDS	561	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
MMFACILD_00016	gene	1179	dapL			
MMFACILD_00016	CDS	1179	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
MMFACILD_00017	gene	3384				
MMFACILD_00017	CDS	3384				hypothetical protein
MMFACILD_00018	gene	1158	rnd_1			
MMFACILD_00018	CDS	1158	rnd_1	3.1.13.5		Ribonuclease D
MMFACILD_00019	gene	450				
MMFACILD_00019	CDS	450				hypothetical protein
MMFACILD_00020	gene	2106				
MMFACILD_00020	CDS	2106				hypothetical protein
MMFACILD_00021	gene	783	lvr			
MMFACILD_00021	CDS	783	lvr	1.1.1.-		Levodione reductase
MMFACILD_00022	gene	1272	bbsG			
MMFACILD_00022	CDS	1272	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
MMFACILD_00023	gene	1002				
MMFACILD_00023	CDS	1002		2.7.1.-	COG3173	Putative aminoglycoside phosphotransferase
MMFACILD_00024	gene	636				
MMFACILD_00024	CDS	636				hypothetical protein
MMFACILD_00025	gene	1374	puuB_1			
MMFACILD_00025	CDS	1374	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MMFACILD_00026	gene	1086	yfdE_1			
