BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000001.1.region001	NZ_ATVN01000001.1	Pseudorhodobacter ferrugineus strain DSM 5888	T1PKS.NRPS-like	PKS-NRP_Hybrids	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_AUCM01000011.1.region001	NZ_AUCM01000011.1	Gemmobacter nectariphilus strain DSM 15620	T1PKS.NRPS-like	PKS-NRP_Hybrids	Gemmobacter nectariphilus DSM 15620..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000031.1.region001	NZ_LGIC01000031.1	Cypionkella psychrotolerans strain PAMC27389	T1PKS.NRPS-like	PKS-NRP_Hybrids	Cypionkella psychrotolerans PAMC27389..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region003	NZ_FBYC01000004.1	Roseibaca calidilacus strain HL-91	T1PKS.NRPS-like	PKS-NRP_Hybrids	Roseibaca calidilacus HL-91..	
GCF_001884735.1_Natronohydrobacter_thiooxidans_AH01-NZ_MJAP01000001.1.region001	NZ_MJAP01000001.1	NZ_MJAP01000001.1 Natronohydrobacter thiooxidans strain AH01 AH01_contig_1, whole genome shotgun sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids		
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000001.1.region001	NZ_PHSN01000001.1	Acidimangrovimonas sediminis strain MS2-2	T1PKS.NRPS	PKS-NRP_Hybrids	Acidimangrovimonas sediminis MS2-2..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000151.1.region001	NZ_PZKG01000151.1	Cereibacter changlensis strain JA139JA139	T1PKS.NRPS-like	PKS-NRP_Hybrids	Cereibacter changlensis JA139JA139..	
GCF_003075525.1_Pararhodobacter_aggregans_D1-19-NZ_QDDR01000014.1.region001	NZ_QDDR01000014.1	Pararhodobacter aggregans strain D1-19	T1PKS.NRPS-like	PKS-NRP_Hybrids	Pararhodobacter aggregans D1-19..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000005.1.region001	NZ_QDKM01000005.1	Pararhodobacter oceanensis strain AM505	T1PKS.NRPS-like	PKS-NRP_Hybrids	Pararhodobacter oceanensis AM505..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000001.1.region001	NZ_QEYD01000001.1	Pararhodobacter marinus strain CIC4N-9	T1PKS.NRPS-like	PKS-NRP_Hybrids	Pararhodobacter marinus CIC4N-9..	
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000004.1.region001	NZ_REEZ01000004.1	Pararhodobacter zhoushanensis strain ZQ420	T1PKS.NRPS-like	PKS-NRP_Hybrids	Pararhodobacter zhoushanensis ZQ420..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000011.1.region001	NZ_RRYH01000011.1	Solirhodobacter olei strain Pet-1	T1PKS.NRPS	PKS-NRP_Hybrids	Solirhodobacter olei Pet-1..	
GCF_013415485.1_Rhabdonatronobacter_sediminivivens_IM2376-NZ_JACBXS010000012.1.region001	NZ_JACBXS010000012.1	NZ_JACBXS010000012.1 Rhabdonatronobacter sediminivivens strain IM2376 NODE_12_length_101050_cov_372.417290, whole genome shotgun sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids		
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region008	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	T1PKS.NRPS-like	PKS-NRP_Hybrids	Roseicitreum antarcticum ZS2-28..	
GCF_020667835.1_Roseibaca_sp._Y0-43_Y0-43-NZ_JAFMPR010000012.1.region001	NZ_JAFMPR010000012.1	NZ_JAFMPR010000012.1 Roseibaca sp. Y0-43 scaffold_12_length=48979, whole genome shotgun sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids		
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000002.1.region002	NZ_JALZWP010000002.1	Roseibaca sp.v10 strain V10	T1PKS.NRPS-like	PKS-NRP_Hybrids	Roseibaca sp.v10 V10..	
GCF_028745735.1_Roseinatronobacter_sp._HJB301_HJB301-NZ_JAQZSM010000008.1.region001	NZ_JAQZSM010000008.1	NZ_JAQZSM010000008.1 Roseinatronobacter sp. HJB301 Scaffold8, whole genome shotgun sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids		
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000014.1.region002	NZ_FNEA01000014.1	Paracoccus denitrificans strain DSM 413	T1PKS.NRPS-like	PKS-NRP_Hybrids	Paracoccus denitrificans DSM 413..	
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000008.1.region001	NZ_FOCE01000008.1	Gemmobacter aquatilis strain DSM 3857	T1PKS.NRPS-like	PKS-NRP_Hybrids	Gemmobacter aquatilis DSM 3857..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000007.1.region001	NZ_UIHC01000007.1	Roseibaca ekhonensis strain CECT7235	T1PKS.NRPS-like	PKS-NRP_Hybrids	Roseibaca ekhonensis CECT7235..	
