locus_tag	ftype	length_bp	gene	EC_number	COG	product
JCPCKFCL_00001	gene	96				
JCPCKFCL_00001	CDS	96				hypothetical protein
JCPCKFCL_00002	gene	642				
JCPCKFCL_00002	CDS	642				hypothetical protein
JCPCKFCL_00003	gene	813				
JCPCKFCL_00003	CDS	813				hypothetical protein
JCPCKFCL_00004	gene	429				
JCPCKFCL_00004	CDS	429				hypothetical protein
JCPCKFCL_00005	gene	648	degU			
JCPCKFCL_00005	CDS	648	degU		COG2197	Transcriptional regulatory protein DegU
JCPCKFCL_00006	gene	1038				
JCPCKFCL_00006	CDS	1038				hypothetical protein
JCPCKFCL_00007	gene	975				
JCPCKFCL_00007	CDS	975				hypothetical protein
JCPCKFCL_00008	gene	2382				
JCPCKFCL_00008	CDS	2382				hypothetical protein
JCPCKFCL_00009	gene	726				
JCPCKFCL_00009	CDS	726				hypothetical protein
JCPCKFCL_00010	gene	501				
JCPCKFCL_00010	CDS	501				hypothetical protein
JCPCKFCL_00011	gene	651	phnT			
JCPCKFCL_00011	CDS	651	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
JCPCKFCL_00012	gene	1734	ynjC			
JCPCKFCL_00012	CDS	1734	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
JCPCKFCL_00013	gene	1215	ynjB			
JCPCKFCL_00013	CDS	1215	ynjB		COG4134	Protein YnjB
JCPCKFCL_00014	gene	609	ynjF			
JCPCKFCL_00014	CDS	609	ynjF		COG0558	Inner membrane protein YnjF
JCPCKFCL_00015	gene	660				
JCPCKFCL_00015	CDS	660			COG1136	putative ABC transporter ATP-binding protein
JCPCKFCL_00016	gene	2427				
JCPCKFCL_00016	CDS	2427				hypothetical protein
JCPCKFCL_00017	gene	2076	hemH			
JCPCKFCL_00017	CDS	2076	hemH	4.99.1.1		Ferrochelatase
JCPCKFCL_00018	gene	732				
JCPCKFCL_00018	CDS	732				hypothetical protein
JCPCKFCL_00019	gene	258	grxC			
JCPCKFCL_00019	CDS	258	grxC		COG0695	Glutaredoxin 3
JCPCKFCL_00020	gene	444				
JCPCKFCL_00020	CDS	444				hypothetical protein
JCPCKFCL_00021	gene	750	ubiG			
JCPCKFCL_00021	CDS	750	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
JCPCKFCL_00022	gene	912	pip			
JCPCKFCL_00022	CDS	912	pip	3.4.11.5		Proline iminopeptidase
JCPCKFCL_00023	gene	1227	waaA			
JCPCKFCL_00023	CDS	1227	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
JCPCKFCL_00024	gene	1386				
JCPCKFCL_00024	CDS	1386				hypothetical protein
JCPCKFCL_00025	gene	705	neuA			
JCPCKFCL_00025	CDS	705	neuA	2.7.7.43	COG1083	N-acylneuraminate cytidylyltransferase
JCPCKFCL_00026	gene	894	oxyR_1			
JCPCKFCL_00026	CDS	894	oxyR_1			Hydrogen peroxide-inducible genes activator
JCPCKFCL_00027	gene	804	sppA			
JCPCKFCL_00027	CDS	804	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
JCPCKFCL_00028	gene	996	yrbG_1			
JCPCKFCL_00028	CDS	996	yrbG_1		COG0530	Inner membrane protein YrbG
JCPCKFCL_00029	gene	789	fabG_1			
JCPCKFCL_00029	CDS	789	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JCPCKFCL_00030	gene	1887	uvrC			
JCPCKFCL_00030	CDS	1887	uvrC		COG0322	UvrABC system protein C
JCPCKFCL_00031	gene	669	pgsA			
JCPCKFCL_00031	CDS	669	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
JCPCKFCL_00032	gene	249	moaD			
JCPCKFCL_00032	CDS	249	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
JCPCKFCL_00033	gene	447	moaE			
JCPCKFCL_00033	CDS	447	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
JCPCKFCL_00034	gene	624				
JCPCKFCL_00034	CDS	624				queuosine precursor transporter
JCPCKFCL_00035	gene	426	arfB			
JCPCKFCL_00035	CDS	426	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
JCPCKFCL_00036	gene	129				
JCPCKFCL_00036	CDS	129				hypothetical protein
JCPCKFCL_00037	gene	459				
JCPCKFCL_00037	CDS	459				hypothetical protein
JCPCKFCL_00038	gene	1476				
JCPCKFCL_00038	CDS	1476				hypothetical protein
JCPCKFCL_00039	gene	1293	pncB			
JCPCKFCL_00039	CDS	1293	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
JCPCKFCL_00040	gene	609	pncA			
JCPCKFCL_00040	CDS	609	pncA	3.5.1.19	COG1335	Nicotinamidase
JCPCKFCL_00041	gene	906				
JCPCKFCL_00041	CDS	906				hypothetical protein
JCPCKFCL_00042	gene	1725				
JCPCKFCL_00042	CDS	1725				hypothetical protein
JCPCKFCL_00043	gene	282				
JCPCKFCL_00043	CDS	282				hypothetical protein
JCPCKFCL_00044	gene	624	yibF			
JCPCKFCL_00044	CDS	624	yibF		COG0625	putative GST-like protein YibF
JCPCKFCL_00045	gene	567	petA			
JCPCKFCL_00045	CDS	567	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
JCPCKFCL_00046	gene	1356	petB			
JCPCKFCL_00046	CDS	1356	petB		COG1290	Cytochrome b
JCPCKFCL_00047	gene	792	petC			
JCPCKFCL_00047	CDS	792	petC		COG2857	Cytochrome c1
JCPCKFCL_00048	gene	990				
JCPCKFCL_00048	CDS	990				hypothetical protein
JCPCKFCL_00049	gene	1950	mobA_1			
JCPCKFCL_00049	CDS	1950	mobA_1	1.14.13.23	COG0654	3-hydroxybenzoate 4-monooxygenase
JCPCKFCL_00050	gene	450	nicR			
JCPCKFCL_00050	CDS	450	nicR		COG1846	HTH-type transcriptional repressor NicR
JCPCKFCL_00051	gene	555	rfbC			
JCPCKFCL_00051	CDS	555	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
JCPCKFCL_00052	gene	1044	rffG			
JCPCKFCL_00052	CDS	1044	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
JCPCKFCL_00053	gene	855	rfbD			
JCPCKFCL_00053	CDS	855	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
JCPCKFCL_00054	gene	1446				
