BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000001.1.region001	NZ_ATVN01000001.1	Pseudorhodobacter ferrugineus strain DSM 5888	NRPS-like.T1PKS	PKS-NRP_Hybrids	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.1.region001	NZ_ATVN01000003.1	Pseudorhodobacter ferrugineus strain DSM 5888	NRPS	NRPS	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000007.1.region001	NZ_ATVN01000007.1	Pseudorhodobacter ferrugineus strain DSM 5888	terpene	Terpene	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000011.1.region001	NZ_ATVN01000011.1	Pseudorhodobacter ferrugineus strain DSM 5888	ectoine	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000016.1.region001	NZ_ATVN01000016.1	Pseudorhodobacter ferrugineus strain DSM 5888	hserlactone	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_AUCM01000011.1.region001	NZ_AUCM01000011.1	Gemmobacter nectariphilus strain DSM 15620	NRPS-like.T1PKS	PKS-NRP_Hybrids	Gemmobacter nectariphilus DSM 15620..	
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_KE386949.1.region001	NZ_KE386949.1	Gemmobacter nectariphilus strain DSM 15620	RiPP-like	RiPPs	Gemmobacter nectariphilus DSM 15620..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000001.1.region001	NZ_AUND01000001.1	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000006.1.region001	NZ_AUND01000006.1	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region001	NZ_AUND01000023.1	Thioclava pacifica strain DSM 10166	ectoine	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region002	NZ_AUND01000023.1	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000039.1.region001	NZ_AUND01000039.1	Thioclava pacifica strain DSM 10166	redox-cofactor	RiPPs	Thioclava pacifica DSM 10166..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region001	NZ_JFGS01000001.1	Haematobacter missouriensis strain CCUG52307	ectoine	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region002	NZ_JFGS01000001.1	Haematobacter missouriensis strain CCUG52307	terpene	Terpene	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000006.1.region001	NZ_JFGS01000006.1	Haematobacter missouriensis strain CCUG52307	RiPP-like	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000018.1.region001	NZ_JFGS01000018.1	Haematobacter missouriensis strain CCUG52307	RiPP-like	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000028.1.region001	NZ_JFGS01000028.1	Haematobacter missouriensis strain CCUG52307	redox-cofactor	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000030.1.region001	NZ_JFGS01000030.1	Haematobacter missouriensis strain CCUG52307	NAGGN	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000035.1.region001	NZ_JFGS01000035.1	Haematobacter missouriensis strain CCUG52307	NRPS	NRPS	Haematobacter missouriensis CCUG52307..	
GCF_000740785.1_Paenirhodobacter_enshiensis_DW2-9-NZ_JFZB01000007.1.region001	NZ_JFZB01000007.1	Paenirhodobacter enshiensis strain DW2-9	NRPS-like	NRPS	Paenirhodobacter enshiensis DW2-9..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000031.1.region001	NZ_LGIC01000031.1	Cypionkella psychrotolerans strain PAMC27389	NRPS-like.T1PKS	PKS-NRP_Hybrids	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000052.1.region001	NZ_LGIC01000052.1	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000055.1.region001	NZ_LGIC01000055.1	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000065.1.region001	NZ_LGIC01000065.1	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000068.1.region001	NZ_LGIC01000068.1	Cypionkella psychrotolerans strain PAMC27389	RiPP-like	RiPPs	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000090.1.region001	NZ_LGIC01000090.1	Cypionkella psychrotolerans strain PAMC27389	NRPS-like	NRPS	Cypionkella psychrotolerans PAMC27389..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region001	NZ_FBYC01000004.1	Roseibaca calidilacus strain HL-91	terpene	Terpene	Roseibaca calidilacus HL-91..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region002	NZ_FBYC01000004.1	Roseibaca calidilacus strain HL-91	ectoine	Others	Roseibaca calidilacus HL-91..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region003	NZ_FBYC01000004.1	Roseibaca calidilacus strain HL-91	NRPS-like.T1PKS	PKS-NRP_Hybrids	Roseibaca calidilacus HL-91..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region001	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	terpene	Terpene	Rhodobaca barguzinensis alga05..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region002	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	ectoine	Others	Rhodobaca barguzinensis alga05..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region003	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	hserlactone	Others	Rhodobaca barguzinensis alga05..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region001	NZ_MEHT01000009.1	Roseinatronobacter thiooxidans strain ALG1	terpene.ectoine	Others	Roseinatronobacter thiooxidans ALG1..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region002	NZ_MEHT01000009.1	Roseinatronobacter thiooxidans strain ALG1	hserlactone	Others	Roseinatronobacter thiooxidans ALG1..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000018.1.region001	NZ_MEHT01000018.1	Roseinatronobacter thiooxidans strain ALG1	terpene	Terpene	Roseinatronobacter thiooxidans ALG1..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000001.1.region001	NZ_PHSN01000001.1	Acidimangrovimonas sediminis strain MS2-2	NRPS.T1PKS	PKS-NRP_Hybrids	Acidimangrovimonas sediminis MS2-2..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000004.1.region001	NZ_PHSN01000004.1	Acidimangrovimonas sediminis strain MS2-2	terpene	Terpene	Acidimangrovimonas sediminis MS2-2..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.1.region001	NZ_PHSN01000005.1	Acidimangrovimonas sediminis strain MS2-2	hserlactone	Others	Acidimangrovimonas sediminis MS2-2..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000014.1.region001	NZ_PHSN01000014.1	Acidimangrovimonas sediminis strain MS2-2	T3PKS	PKSother	Acidimangrovimonas sediminis MS2-2..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000027.1.region001	NZ_PHSN01000027.1	Acidimangrovimonas sediminis strain MS2-2	ectoine	Others	Acidimangrovimonas sediminis MS2-2..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.1.region001	NZ_PJON01000001.1	Tabrizicola aquatica strain RCRI19	terpene	Terpene	Tabrizicola aquatica RCRI19..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.1.region002	NZ_PJON01000001.1	Tabrizicola aquatica strain RCRI19	terpene	Terpene	Tabrizicola aquatica RCRI19..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000007.1.region001	NZ_PJON01000007.1	Tabrizicola aquatica strain RCRI19	hserlactone	Others	Tabrizicola aquatica RCRI19..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000002.1.region001	NZ_PRDS01000002.1	Albidovulum inexpectatum strain DSM 12048	terpene	Terpene	Albidovulum inexpectatum DSM 12048..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.1.region001	NZ_PRDS01000005.1	Albidovulum inexpectatum strain DSM 12048	hserlactone	Others	Albidovulum inexpectatum DSM 12048..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.1.region002	NZ_PRDS01000005.1	Albidovulum inexpectatum strain DSM 12048	hserlactone	Others	Albidovulum inexpectatum DSM 12048..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000002.1.region001	NZ_PZKE01000002.1	Fuscovulum blasticum strain DSM 2131	RRE-containing	RiPPs	Fuscovulum blasticum DSM 2131..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000012.1.region001	NZ_PZKE01000012.1	Fuscovulum blasticum strain DSM 2131	hserlactone	Others	Fuscovulum blasticum DSM 2131..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000018.1.region001	NZ_PZKE01000018.1	Fuscovulum blasticum strain DSM 2131	terpene	Terpene	Fuscovulum blasticum DSM 2131..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000022.1.region001	NZ_PZKE01000022.1	Fuscovulum blasticum strain DSM 2131	terpene	Terpene	Fuscovulum blasticum DSM 2131..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.1.region001	NZ_PZKG01000002.1	Cereibacter changlensis strain JA139JA139	terpene	Terpene	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.1.region002	NZ_PZKG01000002.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000065.1.region001	NZ_PZKG01000065.1	Cereibacter changlensis strain JA139JA139	RRE-containing	RiPPs	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000079.1.region001	NZ_PZKG01000079.1	Cereibacter changlensis strain JA139JA139	terpene	Terpene	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000089.1.region001	NZ_PZKG01000089.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000093.1.region001	NZ_PZKG01000093.1	Cereibacter changlensis strain JA139JA139	NRPS-like	NRPS	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000151.1.region001	NZ_PZKG01000151.1	Cereibacter changlensis strain JA139JA139	NRPS-like.T1PKS	PKS-NRP_Hybrids	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000187.1.region001	NZ_PZKG01000187.1	Cereibacter changlensis strain JA139JA139	redox-cofactor	RiPPs	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000251.1.region001	NZ_PZKG01000251.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000318.1.region001	NZ_PZKG01000318.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000001.1.region001	NZ_PZKF01000001.1	Phaeovulum veldkampii strain DSM 11550	terpene	Terpene	Phaeovulum veldkampii DSM 11550..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000007.1.region001	NZ_PZKF01000007.1	Phaeovulum veldkampii strain DSM 11550	betalactone	Others	Phaeovulum veldkampii DSM 11550..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000013.1.region001	NZ_PZKF01000013.1	Phaeovulum veldkampii strain DSM 11550	hserlactone	Others	Phaeovulum veldkampii DSM 11550..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000014.1.region001	NZ_PZKF01000014.1	Phaeovulum veldkampii strain DSM 11550	terpene	Terpene	Phaeovulum veldkampii DSM 11550..	
GCF_003075525.1_Pararhodobacter_aggregans_D1-19-NZ_QDDR01000014.1.region001	NZ_QDDR01000014.1	Pararhodobacter aggregans strain D1-19	NRPS-like.T1PKS	PKS-NRP_Hybrids	Pararhodobacter aggregans D1-19..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000001.1.region001	NZ_QDKM01000001.1	Pararhodobacter oceanensis strain AM505	terpene	Terpene	Pararhodobacter oceanensis AM505..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000002.1.region001	NZ_QDKM01000002.1	Pararhodobacter oceanensis strain AM505	ectoine	Others	Pararhodobacter oceanensis AM505..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000005.1.region001	NZ_QDKM01000005.1	Pararhodobacter oceanensis strain AM505	NRPS-like.T1PKS	PKS-NRP_Hybrids	Pararhodobacter oceanensis AM505..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000010.1.region001	NZ_QDKM01000010.1	Pararhodobacter oceanensis strain AM505	betalactone	Others	Pararhodobacter oceanensis AM505..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000001.1.region001	NZ_QEYD01000001.1	Pararhodobacter marinus strain CIC4N-9	NRPS-like.T1PKS	PKS-NRP_Hybrids	Pararhodobacter marinus CIC4N-9..	
