locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJPBECLI_00001	gene	1026				
BJPBECLI_00001	CDS	1026				Type IV secretion system protein VirB11
BJPBECLI_00002	gene	477				
BJPBECLI_00002	CDS	477				hypothetical protein
BJPBECLI_00003	gene	1014				
BJPBECLI_00003	CDS	1014				hypothetical protein
BJPBECLI_00004	gene	522				
BJPBECLI_00004	CDS	522				hypothetical protein
BJPBECLI_00005	gene	1197				
BJPBECLI_00005	CDS	1197				hypothetical protein
BJPBECLI_00006	gene	1044				
BJPBECLI_00006	CDS	1044				hypothetical protein
BJPBECLI_00007	gene	1050				
BJPBECLI_00007	CDS	1050			COG0609	putative ABC transporter permease protein
BJPBECLI_00008	gene	753	fecE			
BJPBECLI_00008	CDS	753	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
BJPBECLI_00009	gene	1035				
BJPBECLI_00009	CDS	1035				hypothetical protein
BJPBECLI_00010	gene	411	hmrR_1			
BJPBECLI_00010	CDS	411	hmrR_1			HTH-type transcriptional regulator HmrR
BJPBECLI_00011	gene	942	fieF_1			
BJPBECLI_00011	CDS	942	fieF_1			Ferrous-iron efflux pump FieF
BJPBECLI_00012	gene	708	mgtC_1			
BJPBECLI_00012	CDS	708	mgtC_1		COG1285	Protein MgtC
BJPBECLI_00013	gene	1146	fieF_2			
BJPBECLI_00013	CDS	1146	fieF_2			Ferrous-iron efflux pump FieF
BJPBECLI_00014	gene	339				
BJPBECLI_00014	CDS	339				hypothetical protein
BJPBECLI_00015	gene	1065				
BJPBECLI_00015	CDS	1065			COG2239	Magnesium transporter MgtE
BJPBECLI_00016	gene	1380				
BJPBECLI_00016	CDS	1380			COG2239	Magnesium transporter MgtE
BJPBECLI_00017	gene	453	hisE_1			
BJPBECLI_00017	CDS	453	hisE_1	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
BJPBECLI_00018	gene	423				
BJPBECLI_00018	CDS	423				hypothetical protein
BJPBECLI_00019	gene	195				
BJPBECLI_00019	CDS	195				hypothetical protein
BJPBECLI_00020	gene	321	hvrA_1			
BJPBECLI_00020	CDS	321	hvrA_1			Trans-acting regulatory protein HvrA
BJPBECLI_00021	gene	405	ssb_1			
BJPBECLI_00021	CDS	405	ssb_1		COG0629	Single-stranded DNA-binding protein
BJPBECLI_00022	gene	729				
BJPBECLI_00022	CDS	729				hypothetical protein
BJPBECLI_00023	gene	396				
BJPBECLI_00023	CDS	396				hypothetical protein
BJPBECLI_00024	gene	849				
BJPBECLI_00024	CDS	849				hypothetical protein
BJPBECLI_00025	gene	783				
BJPBECLI_00025	CDS	783				IS21 family transposase ISRsp2
BJPBECLI_00026	gene	1590				
BJPBECLI_00026	CDS	1590				IS21 family transposase ISPpu7
BJPBECLI_00027	gene	633	xerC_1			
BJPBECLI_00027	CDS	633	xerC_1			Tyrosine recombinase XerC
BJPBECLI_00028	gene	264	murF_1			
BJPBECLI_00028	CDS	264	murF_1	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BJPBECLI_00029	gene	1374	purB_1			
BJPBECLI_00029	CDS	1374	purB_1	4.3.2.2	COG0015	Adenylosuccinate lyase
BJPBECLI_00030	gene	1086	ugpC_1			
BJPBECLI_00030	CDS	1086	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
BJPBECLI_00031	gene	885	ngcG_1			
BJPBECLI_00031	CDS	885	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
BJPBECLI_00032	gene	867	ngcF_1			
BJPBECLI_00032	CDS	867	ngcF_1		COG1175	Diacetylchitobiose uptake system permease protein NgcF
BJPBECLI_00033	gene	1215				
BJPBECLI_00033	CDS	1215				putative sugar-binding periplasmic protein
BJPBECLI_00034	gene	1137				
BJPBECLI_00034	CDS	1137				hypothetical protein
BJPBECLI_00035	gene	324	hvrA_2			
BJPBECLI_00035	CDS	324	hvrA_2			Trans-acting regulatory protein HvrA
BJPBECLI_00036	gene	729				
BJPBECLI_00036	CDS	729				hypothetical protein
BJPBECLI_00037	gene	927	tyrC			
BJPBECLI_00037	CDS	927	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
BJPBECLI_00038	gene	1101	hisC_1			
BJPBECLI_00038	CDS	1101	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
BJPBECLI_00039	gene	987	cntI			
BJPBECLI_00039	CDS	987	cntI			Pseudopaline exporter CntI
BJPBECLI_00040	gene	753	ygfZ			
BJPBECLI_00040	CDS	753	ygfZ			tRNA-modifying protein YgfZ
BJPBECLI_00041	gene	927				
BJPBECLI_00041	CDS	927				hypothetical protein
BJPBECLI_00042	gene	435				
BJPBECLI_00042	CDS	435				hypothetical protein
BJPBECLI_00043	gene	315				
BJPBECLI_00043	CDS	315				hypothetical protein
BJPBECLI_00044	gene	393				
BJPBECLI_00044	CDS	393				hypothetical protein
BJPBECLI_00045	gene	1659	dauA			
