ClusterBlast scores for NZ_JAFMPR010000012.1

Table of genes, locations, strands and annotations of query cluster:
ctg3_3	862	1777	-		
ctg3_4	1773	2862	-		
ctg3_5	2983	3952	-		
ctg3_6	4007	4760	-		
ctg3_7	4877	5789	-		
ctg3_8	5823	6078	+		
ctg3_9	6072	6462	-		
ctg3_10	6476	6866	+		
ctg3_11	6905	7289	+		
ctg3_12	7279	8929	-		
ctg3_13	9169	9568	+		
ctg3_14	9658	11059	+		
ctg3_15	11055	11883	+		
ctg3_16	11922	14355	-		
ctg3_17	14501	16124	+		
ctg3_18	16116	16320	+		
ctg3_19	16473	17364	+		
ctg3_20	17379	18744	+		
ctg3_21	18754	20263	+		
ctg3_22	20259	26601	+		
ctg3_23	26597	27521	+		
ctg3_24	27517	28504	+		
ctg3_25	28513	33043	+		
ctg3_26	33039	33741	+		
ctg3_27	33951	34263	+		
ctg3_28	34329	35823	-		
ctg3_29	36011	37352	+		
ctg3_30	37471	38425	-		
ctg3_31	38675	38945	+		
ctg3_32	39110	40133	+		
ctg3_33	40228	40516	+		
ctg3_34	40908	42303	+		
ctg3_35	42299	43268	-		
ctg3_36	43271	44198	-		
ctg3_37	44209	45004	-		
ctg3_38	45000	45609	-		
ctg3_39	45629	46136	+		
ctg3_40	46132	47155	+		
ctg3_41	47160	47904	+		
ctg3_42	47940	48459	+		


Significant hits: 


Details:
