locus_tag	ftype	length_bp	gene	EC_number	COG	product
EOMLKCNM_00001	gene	618	msrQ			
EOMLKCNM_00001	CDS	618	msrQ			Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
EOMLKCNM_00002	gene	921	msrP			
EOMLKCNM_00002	CDS	921	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
EOMLKCNM_00003	gene	2658	clpB			
EOMLKCNM_00003	CDS	2658	clpB			Chaperone protein ClpB
EOMLKCNM_00004	gene	246				
EOMLKCNM_00004	CDS	246				hypothetical protein
EOMLKCNM_00005	gene	702	cutC			
EOMLKCNM_00005	CDS	702	cutC		COG3142	Copper homeostasis protein CutC
EOMLKCNM_00006	gene	912	nagK			
EOMLKCNM_00006	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
EOMLKCNM_00007	gene	693	pyrF			
EOMLKCNM_00007	CDS	693	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
EOMLKCNM_00008	gene	366				
EOMLKCNM_00008	CDS	366				hypothetical protein
EOMLKCNM_00009	gene	264				
EOMLKCNM_00009	CDS	264				hypothetical protein
EOMLKCNM_00010	gene	882	qmcA			
EOMLKCNM_00010	CDS	882	qmcA		COG0330	Protein QmcA
EOMLKCNM_00011	gene	825				
EOMLKCNM_00011	CDS	825				hypothetical protein
EOMLKCNM_00012	gene	1251	dinB			
EOMLKCNM_00012	CDS	1251	dinB	2.7.7.7	COG0389	DNA polymerase IV
EOMLKCNM_00013	gene	861				
EOMLKCNM_00013	CDS	861				hypothetical protein
EOMLKCNM_00014	gene	75				
EOMLKCNM_00014	tRNA	75				tRNA-Val(gac)
EOMLKCNM_00015	gene	126	rpmJ			
EOMLKCNM_00015	CDS	126	rpmJ		COG0257	50S ribosomal protein L36
EOMLKCNM_00016	gene	294				
EOMLKCNM_00016	CDS	294				hypothetical protein
EOMLKCNM_00017	gene	609	yibF			
EOMLKCNM_00017	CDS	609	yibF		COG0625	putative GST-like protein YibF
EOMLKCNM_00018	gene	567	petA_1			
EOMLKCNM_00018	CDS	567	petA_1	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
EOMLKCNM_00019	gene	1338	petB			
