locus_tag	ftype	length_bp	gene	EC_number	COG	product
OCIILLLM_00001	gene	618	mamZ			
OCIILLLM_00001	CDS	618	mamZ			Magnetosome protein MamZ
OCIILLLM_00002	gene	912	msrP			
OCIILLLM_00002	CDS	912	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
OCIILLLM_00003	gene	480				
OCIILLLM_00003	CDS	480			COG2335	Immunogenic protein MPT70
OCIILLLM_00004	gene	411				
OCIILLLM_00004	CDS	411				hypothetical protein
OCIILLLM_00005	gene	354				
OCIILLLM_00005	CDS	354				hypothetical protein
OCIILLLM_00006	gene	1917				
OCIILLLM_00006	CDS	1917				hypothetical protein
OCIILLLM_00007	gene	660				
OCIILLLM_00007	CDS	660				hypothetical protein
OCIILLLM_00008	gene	2616	clpB			
OCIILLLM_00008	CDS	2616	clpB			Chaperone protein ClpB
OCIILLLM_00009	gene	462				
OCIILLLM_00009	CDS	462				hypothetical protein
OCIILLLM_00010	gene	711	cutC			
OCIILLLM_00010	CDS	711	cutC		COG3142	Copper homeostasis protein CutC
OCIILLLM_00011	gene	882	nagK_1			
OCIILLLM_00011	CDS	882	nagK_1	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
OCIILLLM_00012	gene	693	pyrF			
OCIILLLM_00012	CDS	693	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
OCIILLLM_00013	gene	444				
OCIILLLM_00013	CDS	444				hypothetical protein
OCIILLLM_00014	gene	288				
OCIILLLM_00014	CDS	288				hypothetical protein
OCIILLLM_00015	gene	882	qmcA			
OCIILLLM_00015	CDS	882	qmcA		COG0330	Protein QmcA
OCIILLLM_00016	gene	708	phoU_1			
OCIILLLM_00016	CDS	708	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
OCIILLLM_00017	gene	1353				
OCIILLLM_00017	CDS	1353				hypothetical protein
OCIILLLM_00018	gene	1461				
OCIILLLM_00018	CDS	1461				hypothetical protein
OCIILLLM_00019	gene	1056	sphX			
OCIILLLM_00019	CDS	1056	sphX		COG0226	Protein SphX
OCIILLLM_00020	gene	243				
OCIILLLM_00020	CDS	243				hypothetical protein
OCIILLLM_00021	gene	1191	waaA_1			
OCIILLLM_00021	CDS	1191	waaA_1	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
OCIILLLM_00022	gene	993	lpxK			
OCIILLLM_00022	CDS	993	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
OCIILLLM_00023	gene	942	mrr			
OCIILLLM_00023	CDS	942	mrr		COG1715	Mrr restriction system protein
OCIILLLM_00024	gene	1914	dxs_1			
OCIILLLM_00024	CDS	1914	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
OCIILLLM_00025	gene	870	ispA			
OCIILLLM_00025	CDS	870	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
OCIILLLM_00026	gene	240	xseB			
OCIILLLM_00026	CDS	240	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
OCIILLLM_00027	gene	909				
OCIILLLM_00027	CDS	909		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
OCIILLLM_00028	gene	699	ompR			
OCIILLLM_00028	CDS	699	ompR			Transcriptional regulatory protein OmpR
OCIILLLM_00029	gene	495				
OCIILLLM_00029	CDS	495				hypothetical protein
OCIILLLM_00030	gene	867	ilvE			
OCIILLLM_00030	CDS	867	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
OCIILLLM_00031	gene	429	ohrB			
OCIILLLM_00031	CDS	429	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
OCIILLLM_00032	gene	411	ohrR			
OCIILLLM_00032	CDS	411	ohrR			Organic hydroperoxide resistance transcriptional regulator
OCIILLLM_00033	gene	168				
OCIILLLM_00033	CDS	168				hypothetical protein
OCIILLLM_00034	gene	1071	queG			
OCIILLLM_00034	CDS	1071	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
OCIILLLM_00035	gene	666	fzlA			
OCIILLLM_00035	CDS	666	fzlA			FtsZ-localized protein A
OCIILLLM_00036	gene	750	mtgA_1			
OCIILLLM_00036	CDS	750	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
OCIILLLM_00037	gene	540				
OCIILLLM_00037	CDS	540				hypothetical protein
OCIILLLM_00038	gene	4539	gltB			
OCIILLLM_00038	CDS	4539	gltB	1.4.1.13		Glutamate synthase [NADPH] large chain
OCIILLLM_00039	gene	441				
OCIILLLM_00039	CDS	441				hypothetical protein
OCIILLLM_00040	gene	711				
OCIILLLM_00040	CDS	711				hypothetical protein
OCIILLLM_00041	gene	699				
OCIILLLM_00041	CDS	699				hypothetical protein
OCIILLLM_00042	gene	1437	gltD			
OCIILLLM_00042	CDS	1437	gltD	1.4.1.13		Glutamate synthase [NADPH] small chain
OCIILLLM_00043	gene	804	uppP			
OCIILLLM_00043	CDS	804	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
OCIILLLM_00044	gene	987				
OCIILLLM_00044	CDS	987				hypothetical protein
OCIILLLM_00045	gene	85				
OCIILLLM_00045	tRNA	85				tRNA-Leu(cag)
OCIILLLM_00046	gene	225				
OCIILLLM_00046	CDS	225				hypothetical protein
OCIILLLM_00047	gene	804	fdhD			
