locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDFPEOFN_00001	gene	441				
FDFPEOFN_00001	CDS	441				hypothetical protein
FDFPEOFN_00002	gene	477				
FDFPEOFN_00002	CDS	477			COG2335	Immunogenic protein MPT70
FDFPEOFN_00003	gene	1035	hemE			
FDFPEOFN_00003	CDS	1035	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
FDFPEOFN_00004	gene	957	hemC			
FDFPEOFN_00004	CDS	957	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
FDFPEOFN_00005	gene	1410	murC			
FDFPEOFN_00005	CDS	1410	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
FDFPEOFN_00006	gene	1101	murG			
FDFPEOFN_00006	CDS	1101	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FDFPEOFN_00007	gene	1164	ftsW			
FDFPEOFN_00007	CDS	1164	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
FDFPEOFN_00008	gene	1110	iolG_1			
FDFPEOFN_00008	CDS	1110	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
FDFPEOFN_00009	gene	708	nagR_1			
FDFPEOFN_00009	CDS	708	nagR_1		COG2188	HTH-type transcriptional repressor NagR
FDFPEOFN_00010	gene	1110	malK_1			
FDFPEOFN_00010	CDS	1110	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
FDFPEOFN_00011	gene	1044				
FDFPEOFN_00011	CDS	1044				hypothetical protein
FDFPEOFN_00012	gene	987	lacF_1			
FDFPEOFN_00012	CDS	987	lacF_1			Lactose transport system permease protein LacF
FDFPEOFN_00013	gene	1260				
FDFPEOFN_00013	CDS	1260				hypothetical protein
FDFPEOFN_00014	gene	900	ydhF			
FDFPEOFN_00014	CDS	900	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
FDFPEOFN_00015	gene	1158	ssuD			
FDFPEOFN_00015	CDS	1158	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
FDFPEOFN_00016	gene	741	zupT			
FDFPEOFN_00016	CDS	741	zupT			Zinc transporter ZupT
FDFPEOFN_00017	gene	471	rlmH			
FDFPEOFN_00017	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
FDFPEOFN_00018	gene	495	rsfS			
FDFPEOFN_00018	CDS	495	rsfS			Ribosomal silencing factor RsfS
FDFPEOFN_00019	gene	1410	leuC			
FDFPEOFN_00019	CDS	1410	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
FDFPEOFN_00020	gene	606	leuD1			
FDFPEOFN_00020	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
FDFPEOFN_00021	gene	960				
FDFPEOFN_00021	CDS	960				hypothetical protein
FDFPEOFN_00022	gene	1044				
FDFPEOFN_00022	CDS	1044				hypothetical protein
FDFPEOFN_00023	gene	879	dapA			
FDFPEOFN_00023	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
FDFPEOFN_00024	gene	1971				
FDFPEOFN_00024	CDS	1971				hypothetical protein
FDFPEOFN_00025	gene	843				
FDFPEOFN_00025	CDS	843				hypothetical protein
FDFPEOFN_00026	gene	384				
FDFPEOFN_00026	CDS	384			COG0537	putative HIT-like protein
FDFPEOFN_00027	gene	74				
FDFPEOFN_00027	tRNA	74				tRNA-Cys(gca)
FDFPEOFN_00028	gene	1326	algA			
FDFPEOFN_00028	CDS	1326	algA		COG0662	Alginate biosynthesis protein AlgA
FDFPEOFN_00029	gene	1422	glmM_1			
FDFPEOFN_00029	CDS	1422	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
FDFPEOFN_00030	gene	1038	queG			
FDFPEOFN_00030	CDS	1038	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
FDFPEOFN_00031	gene	1083	zapE			
FDFPEOFN_00031	CDS	1083	zapE		COG1485	Cell division protein ZapE
FDFPEOFN_00032	gene	846	sseA			
FDFPEOFN_00032	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
FDFPEOFN_00033	gene	561				
FDFPEOFN_00033	CDS	561				hypothetical protein
FDFPEOFN_00034	gene	1188	tyrB			
FDFPEOFN_00034	CDS	1188	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
FDFPEOFN_00035	gene	744	ubiG_1			
FDFPEOFN_00035	CDS	744	ubiG_1	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
FDFPEOFN_00036	gene	984	pip			
FDFPEOFN_00036	CDS	984	pip	3.4.11.5		Proline iminopeptidase
FDFPEOFN_00037	gene	2166	katG1			
FDFPEOFN_00037	CDS	2166	katG1	1.11.1.21	COG0376	Catalase-peroxidase 1
FDFPEOFN_00038	gene	648	yieH			
FDFPEOFN_00038	CDS	648	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
FDFPEOFN_00039	gene	564	rsmD			
FDFPEOFN_00039	CDS	564	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
FDFPEOFN_00040	gene	1203	ddmA1			
FDFPEOFN_00040	CDS	1203	ddmA1	1.18.1.3		Dicamba O-demethylase 1, ferredoxin reductase component
FDFPEOFN_00041	gene	489				
FDFPEOFN_00041	CDS	489		1.11.1.15		Peroxiredoxin
FDFPEOFN_00042	gene	1170				
FDFPEOFN_00042	CDS	1170				hypothetical protein
FDFPEOFN_00043	gene	288	phhB			
FDFPEOFN_00043	CDS	288	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
FDFPEOFN_00044	gene	93				
FDFPEOFN_00044	tRNA	93				tRNA-Cys(gca)
FDFPEOFN_00045	gene	1011				
FDFPEOFN_00045	CDS	1011				hypothetical protein
FDFPEOFN_00046	gene	1182	suyB			
FDFPEOFN_00046	CDS	1182	suyB	4.4.1.24		(2R)-sulfolactate sulfo-lyase subunit beta
FDFPEOFN_00047	gene	297				
FDFPEOFN_00047	CDS	297				hypothetical protein
FDFPEOFN_00048	gene	999	comC			
FDFPEOFN_00048	CDS	999	comC	1.1.1.338	COG2055	(2R)-3-sulfolactate dehydrogenase (NADP(+))
FDFPEOFN_00049	gene	720	nagR_2			
FDFPEOFN_00049	CDS	720	nagR_2		COG2188	HTH-type transcriptional repressor NagR
FDFPEOFN_00050	gene	474				
FDFPEOFN_00050	CDS	474				hypothetical protein
FDFPEOFN_00051	gene	993				
FDFPEOFN_00051	CDS	993		1.1.1.401		2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))
FDFPEOFN_00052	gene	756	gno			
FDFPEOFN_00052	CDS	756	gno	1.1.1.-		Gluconate 5-dehydrogenase
FDFPEOFN_00053	gene	1317	hpsN			
FDFPEOFN_00053	CDS	1317	hpsN	1.1.1.308		Sulfopropanediol 3-dehydrogenase
FDFPEOFN_00054	gene	1329	dctM_1			
FDFPEOFN_00054	CDS	1329	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FDFPEOFN_00055	gene	507				
FDFPEOFN_00055	CDS	507				hypothetical protein
FDFPEOFN_00056	gene	1155				
FDFPEOFN_00056	CDS	1155				hypothetical protein
FDFPEOFN_00057	gene	198				
FDFPEOFN_00057	CDS	198				hypothetical protein
FDFPEOFN_00058	gene	1029	degA			
FDFPEOFN_00058	CDS	1029	degA		COG1609	HTH-type transcriptional regulator DegA
FDFPEOFN_00059	gene	885	purU			
FDFPEOFN_00059	CDS	885	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
FDFPEOFN_00060	gene	735	nagR_3			
FDFPEOFN_00060	CDS	735	nagR_3		COG2188	HTH-type transcriptional repressor NagR
FDFPEOFN_00061	gene	879	murQ			
FDFPEOFN_00061	CDS	879	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
FDFPEOFN_00062	gene	1011	malK_2			
FDFPEOFN_00062	CDS	1011	malK_2	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
