#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.region002	2	2
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000035.region001	18	18
GCF_000740785.1_Paenirhodobacter_enshiensis_DW2-9-NZ_JFZB01000007.region001	19	19
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000090.region001	24	24
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000093.region001	57	57
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000004.region001	74	74
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000012.region001	82	82
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000015.region001	83	83
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000001.region001	84	84
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000004.region001	85	85
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000003.region001	93	93
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region007	120	120
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000007.region001	136	136
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000013.region001	138	138
