BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000007.region001	NZ_ATVN01000007	Pseudorhodobacter ferrugineus strain DSM 5888	terpene	Terpene	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.region002	NZ_JFGS01000001	Haematobacter missouriensis strain CCUG52307	terpene	Terpene	Haematobacter missouriensis CCUG52307..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.region001	NZ_FBYC01000004	Roseibaca calidilacus strain HL-91	terpene	Terpene	Roseibaca calidilacus HL-91..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region001	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	terpene	Terpene	Rhodobaca barguzinensis alga05..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000018.region001	NZ_MEHT01000018	Roseinatronobacter thiooxidans strain ALG1	terpene	Terpene	Roseinatronobacter thiooxidans ALG1..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000004.region001	NZ_PHSN01000004	Acidimangrovimonas sediminis strain MS2-2	terpene	Terpene	Acidimangrovimonas sediminis MS2-2..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.region001	NZ_PJON01000001	Tabrizicola aquatica strain RCRI19	terpene	Terpene	Tabrizicola aquatica RCRI19..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.region002	NZ_PJON01000001	Tabrizicola aquatica strain RCRI19	terpene	Terpene	Tabrizicola aquatica RCRI19..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000002.region001	NZ_PRDS01000002	Albidovulum inexpectatum strain DSM 12048	terpene	Terpene	Albidovulum inexpectatum DSM 12048..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000018.region001	NZ_PZKE01000018	Fuscovulum blasticum strain DSM 2131	terpene	Terpene	Fuscovulum blasticum DSM 2131..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000022.region001	NZ_PZKE01000022	Fuscovulum blasticum strain DSM 2131	terpene	Terpene	Fuscovulum blasticum DSM 2131..	
