locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEJFOEHM_00001	gene	165	tufA_1			
GEJFOEHM_00001	CDS	165	tufA_1		COG0050	Elongation factor Tu
GEJFOEHM_00002	gene	309	rpsJ			
GEJFOEHM_00002	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
GEJFOEHM_00003	gene	837	rplC			
GEJFOEHM_00003	CDS	837	rplC		COG0087	50S ribosomal protein L3
GEJFOEHM_00004	gene	621	rplD			
GEJFOEHM_00004	CDS	621	rplD		COG0088	50S ribosomal protein L4
GEJFOEHM_00005	gene	297	rplW			
GEJFOEHM_00005	CDS	297	rplW		COG0089	50S ribosomal protein L23
GEJFOEHM_00006	gene	840	rplB			
GEJFOEHM_00006	CDS	840	rplB		COG0090	50S ribosomal protein L2
GEJFOEHM_00007	gene	279	rpsS			
GEJFOEHM_00007	CDS	279	rpsS		COG0185	30S ribosomal protein S19
GEJFOEHM_00008	gene	381	rplV			
GEJFOEHM_00008	CDS	381	rplV		COG0091	50S ribosomal protein L22
GEJFOEHM_00009	gene	702	rpsC			
GEJFOEHM_00009	CDS	702	rpsC		COG0092	30S ribosomal protein S3
GEJFOEHM_00010	gene	414	rplP			
GEJFOEHM_00010	CDS	414	rplP		COG0197	50S ribosomal protein L16
GEJFOEHM_00011	gene	246				
GEJFOEHM_00011	CDS	246				hypothetical protein
GEJFOEHM_00012	gene	204	rpmC			
GEJFOEHM_00012	CDS	204	rpmC		COG0255	50S ribosomal protein L29
GEJFOEHM_00013	gene	240	rpsQ			
GEJFOEHM_00013	CDS	240	rpsQ		COG0186	30S ribosomal protein S17
GEJFOEHM_00014	gene	369	rplN			
GEJFOEHM_00014	CDS	369	rplN		COG0093	50S ribosomal protein L14
GEJFOEHM_00015	gene	306	rplX			
GEJFOEHM_00015	CDS	306	rplX		COG0198	50S ribosomal protein L24
GEJFOEHM_00016	gene	561	rplE			
GEJFOEHM_00016	CDS	561	rplE		COG0094	50S ribosomal protein L5
GEJFOEHM_00017	gene	306	rpsN			
GEJFOEHM_00017	CDS	306	rpsN		COG0199	30S ribosomal protein S14
GEJFOEHM_00018	gene	399	rpsH			
GEJFOEHM_00018	CDS	399	rpsH		COG0096	30S ribosomal protein S8
GEJFOEHM_00019	gene	534	rplF			
GEJFOEHM_00019	CDS	534	rplF		COG0097	50S ribosomal protein L6
GEJFOEHM_00020	gene	360	rplR			
GEJFOEHM_00020	CDS	360	rplR		COG0256	50S ribosomal protein L18
GEJFOEHM_00021	gene	555	rpsE			
GEJFOEHM_00021	CDS	555	rpsE		COG0098	30S ribosomal protein S5
GEJFOEHM_00022	gene	189	rpmD			
GEJFOEHM_00022	CDS	189	rpmD		COG1841	50S ribosomal protein L30
GEJFOEHM_00023	gene	534				
GEJFOEHM_00023	CDS	534				hypothetical protein
GEJFOEHM_00024	gene	2061	recQ			
GEJFOEHM_00024	CDS	2061	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
GEJFOEHM_00025	gene	288				
GEJFOEHM_00025	CDS	288				hypothetical protein
