locus_tag	ftype	length_bp	gene	EC_number	COG	product
PADFOAJF_00001	gene	798				
PADFOAJF_00001	CDS	798				hypothetical protein
PADFOAJF_00002	gene	219				
PADFOAJF_00002	CDS	219				hypothetical protein
PADFOAJF_00003	gene	495				
PADFOAJF_00003	CDS	495				hypothetical protein
PADFOAJF_00004	gene	519	yrdA			
PADFOAJF_00004	CDS	519	yrdA		COG0663	Protein YrdA
PADFOAJF_00005	gene	654	gmk			
PADFOAJF_00005	CDS	654	gmk	2.7.4.8	COG0194	Guanylate kinase
PADFOAJF_00006	gene	903				
PADFOAJF_00006	CDS	903				hypothetical protein
PADFOAJF_00007	gene	630				
PADFOAJF_00007	CDS	630				hypothetical protein
PADFOAJF_00008	gene	1371	aroH			
PADFOAJF_00008	CDS	1371	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
PADFOAJF_00009	gene	1131	cdhR_1			
PADFOAJF_00009	CDS	1131	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
PADFOAJF_00010	gene	366				
PADFOAJF_00010	CDS	366				hypothetical protein
PADFOAJF_00011	gene	366				
PADFOAJF_00011	CDS	366				hypothetical protein
PADFOAJF_00012	gene	573	mobA_1			
PADFOAJF_00012	CDS	573	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
PADFOAJF_00013	gene	1182	pikC			
PADFOAJF_00013	CDS	1182	pikC	1.14.15.33		Cytochrome P450 monooxygenase PikC
PADFOAJF_00014	gene	372				
PADFOAJF_00014	CDS	372				hypothetical protein
PADFOAJF_00015	gene	1389	dapE_1			
PADFOAJF_00015	CDS	1389	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
PADFOAJF_00016	gene	591				
PADFOAJF_00016	CDS	591				hypothetical protein
PADFOAJF_00017	gene	1230	hemA			
PADFOAJF_00017	CDS	1230	hemA	2.3.1.37	COG0156	5-aminolevulinate synthase
PADFOAJF_00018	gene	1212				
PADFOAJF_00018	CDS	1212				hypothetical protein
PADFOAJF_00019	gene	1125	ispG			
PADFOAJF_00019	CDS	1125	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PADFOAJF_00020	gene	1122	fliG			
PADFOAJF_00020	CDS	1122	fliG		COG1536	Flagellar motor switch protein FliG
PADFOAJF_00021	gene	1329	hflX			
PADFOAJF_00021	CDS	1329	hflX			GTPase HflX
PADFOAJF_00022	gene	234	hfq			
PADFOAJF_00022	CDS	234	hfq		COG1923	RNA-binding protein Hfq
PADFOAJF_00023	gene	1497	trkG			
PADFOAJF_00023	CDS	1497	trkG		COG0168	Trk system potassium uptake protein TrkG
PADFOAJF_00024	gene	1377	trkA			
PADFOAJF_00024	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
PADFOAJF_00025	gene	1392	glnG			
PADFOAJF_00025	CDS	1392	glnG		COG2204	DNA-binding transcriptional regulator NtrC
PADFOAJF_00026	gene	2301	sasA_1			
PADFOAJF_00026	CDS	2301	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PADFOAJF_00027	gene	1401	ntrC			
PADFOAJF_00027	CDS	1401	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
PADFOAJF_00028	gene	1104	glnL			
PADFOAJF_00028	CDS	1104	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
PADFOAJF_00029	gene	990	dusB			
PADFOAJF_00029	CDS	990	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
PADFOAJF_00030	gene	1170	ispDF			
PADFOAJF_00030	CDS	1170	ispDF		COG0245	Bifunctional enzyme IspD/IspF
PADFOAJF_00031	gene	495	pgpA			
PADFOAJF_00031	CDS	495	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
PADFOAJF_00032	gene	471	pncC			
PADFOAJF_00032	CDS	471	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
PADFOAJF_00033	gene	1179	amtB			
PADFOAJF_00033	CDS	1179	amtB			Ammonia channel
PADFOAJF_00034	gene	543				
PADFOAJF_00034	CDS	543				hypothetical protein
PADFOAJF_00035	gene	534				
PADFOAJF_00035	CDS	534				hypothetical protein
PADFOAJF_00036	gene	285				
PADFOAJF_00036	CDS	285				hypothetical protein
