locus_tag	ftype	length_bp	gene	EC_number	COG	product
KKHPANEM_00001	gene	927				
KKHPANEM_00001	CDS	927				hypothetical protein
KKHPANEM_00002	gene	1215				
KKHPANEM_00002	CDS	1215				hypothetical protein
KKHPANEM_00003	gene	1293	dctM_1			
KKHPANEM_00003	CDS	1293	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
KKHPANEM_00004	gene	546	pleD_1			
KKHPANEM_00004	CDS	546	pleD_1			Response regulator PleD
KKHPANEM_00005	gene	1140	praI			
KKHPANEM_00005	CDS	1140	praI	1.14.13.33		4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
KKHPANEM_00006	gene	435				
KKHPANEM_00006	CDS	435				hypothetical protein
KKHPANEM_00007	gene	1251	dmdA			
KKHPANEM_00007	CDS	1251	dmdA	2.1.1.269		Dimethylsulfonioproprionate demethylase DmdA
KKHPANEM_00008	gene	537				
KKHPANEM_00008	CDS	537				hypothetical protein
KKHPANEM_00009	gene	981				
KKHPANEM_00009	CDS	981				hypothetical protein
KKHPANEM_00010	gene	747				
KKHPANEM_00010	CDS	747				hypothetical protein
KKHPANEM_00011	gene	441	uspF_1			
KKHPANEM_00011	CDS	441	uspF_1		COG0589	Universal stress protein F
KKHPANEM_00012	gene	441				
KKHPANEM_00012	CDS	441				hypothetical protein
KKHPANEM_00013	gene	849	gsiD_1			
KKHPANEM_00013	CDS	849	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
KKHPANEM_00014	gene	780	gsiC_1			
KKHPANEM_00014	CDS	780	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
KKHPANEM_00015	gene	687	pyrE_1			
KKHPANEM_00015	CDS	687	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
KKHPANEM_00016	gene	912				
KKHPANEM_00016	CDS	912				hypothetical protein
KKHPANEM_00017	gene	897	bmrU			
KKHPANEM_00017	CDS	897	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
KKHPANEM_00018	gene	1149				
KKHPANEM_00018	CDS	1149				hypothetical protein
KKHPANEM_00019	gene	1668	clcB			
KKHPANEM_00019	CDS	1668	clcB			Voltage-gated ClC-type chloride channel ClcB
KKHPANEM_00020	gene	888	phnJ			
KKHPANEM_00020	CDS	888	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
KKHPANEM_00021	gene	1101	phnI			
KKHPANEM_00021	CDS	1101	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
KKHPANEM_00022	gene	399	hisI_1			
KKHPANEM_00022	CDS	399	hisI_1	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
KKHPANEM_00023	gene	729				
KKHPANEM_00023	CDS	729				hypothetical protein
KKHPANEM_00024	gene	267				
KKHPANEM_00024	CDS	267				hypothetical protein
KKHPANEM_00025	gene	621				
KKHPANEM_00025	CDS	621				hypothetical protein
KKHPANEM_00026	gene	363				
KKHPANEM_00026	CDS	363				hypothetical protein
KKHPANEM_00027	gene	483				
KKHPANEM_00027	CDS	483				hypothetical protein
KKHPANEM_00028	gene	1536				
KKHPANEM_00028	CDS	1536				hypothetical protein
KKHPANEM_00029	gene	144				
KKHPANEM_00029	CDS	144				hypothetical protein
KKHPANEM_00030	gene	645				
KKHPANEM_00030	CDS	645				hypothetical protein
KKHPANEM_00031	gene	1347	bclA			
KKHPANEM_00031	CDS	1347	bclA	6.2.1.25		Benzoate--CoA ligase
KKHPANEM_00032	gene	1722	apc4_1			
KKHPANEM_00032	CDS	1722	apc4_1	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
KKHPANEM_00033	gene	213	accB			
KKHPANEM_00033	CDS	213	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
KKHPANEM_00034	gene	1347	accC			
KKHPANEM_00034	CDS	1347	accC	6.3.4.14	COG0439	Biotin carboxylase
KKHPANEM_00035	gene	789				
KKHPANEM_00035	CDS	789				hypothetical protein
KKHPANEM_00036	gene	1710	dauA_1			
KKHPANEM_00036	CDS	1710	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
KKHPANEM_00037	gene	300				
KKHPANEM_00037	CDS	300				hypothetical protein
KKHPANEM_00038	gene	1041	ctaA			
KKHPANEM_00038	CDS	1041	ctaA	1.3.-.-	COG1612	Heme A synthase
KKHPANEM_00039	gene	1479				
KKHPANEM_00039	CDS	1479		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
KKHPANEM_00040	gene	1011	ribY			
KKHPANEM_00040	CDS	1011	ribY		COG0715	Riboflavin-binding protein RibY
KKHPANEM_00041	gene	387				
KKHPANEM_00041	CDS	387				hypothetical protein
KKHPANEM_00042	gene	1842	pckG			
KKHPANEM_00042	CDS	1842	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
KKHPANEM_00043	gene	75				
KKHPANEM_00043	tRNA	75				tRNA-Asn(gtt)
KKHPANEM_00044	gene	594				
KKHPANEM_00044	CDS	594				hypothetical protein
KKHPANEM_00045	gene	1701				
KKHPANEM_00045	CDS	1701				hypothetical protein
KKHPANEM_00046	gene	717	hyuA_1			
KKHPANEM_00046	CDS	717	hyuA_1	5.1.99.5	COG4126	Hydantoin racemase
KKHPANEM_00047	gene	636				
KKHPANEM_00047	CDS	636				hypothetical protein
KKHPANEM_00048	gene	681	rspR			
KKHPANEM_00048	CDS	681	rspR		COG1802	HTH-type transcriptional repressor RspR
KKHPANEM_00049	gene	1137				
KKHPANEM_00049	CDS	1137			COG2081	putative protein
KKHPANEM_00050	gene	990				
KKHPANEM_00050	CDS	990				hypothetical protein
KKHPANEM_00051	gene	1566				
KKHPANEM_00051	CDS	1566				hypothetical protein
KKHPANEM_00052	gene	990	thiB			
KKHPANEM_00052	CDS	990	thiB		COG4143	Thiamine-binding periplasmic protein
KKHPANEM_00053	gene	198				
KKHPANEM_00053	CDS	198				hypothetical protein
KKHPANEM_00054	gene	1311	ramB			
KKHPANEM_00054	CDS	1311	ramB		COG1396	HTH-type transcriptional regulator RamB
KKHPANEM_00055	gene	648				
KKHPANEM_00055	CDS	648				hypothetical protein
KKHPANEM_00056	gene	582	trpG			
KKHPANEM_00056	CDS	582	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
KKHPANEM_00057	gene	1032	trpD			
KKHPANEM_00057	CDS	1032	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
KKHPANEM_00058	gene	699	ung			
KKHPANEM_00058	CDS	699	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
KKHPANEM_00059	gene	111				
KKHPANEM_00059	CDS	111				hypothetical protein
KKHPANEM_00060	gene	1275				
KKHPANEM_00060	CDS	1275				hypothetical protein
KKHPANEM_00061	gene	1512	gatB			
KKHPANEM_00061	CDS	1512	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
KKHPANEM_00062	gene	1170				
KKHPANEM_00062	CDS	1170				hypothetical protein
KKHPANEM_00063	gene	396				
KKHPANEM_00063	CDS	396				hypothetical protein
KKHPANEM_00064	gene	1407	glnA			
KKHPANEM_00064	CDS	1407	glnA	6.3.1.2	COG0174	Glutamine synthetase
KKHPANEM_00065	gene	339	glnB			
KKHPANEM_00065	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
KKHPANEM_00066	gene	1404				
KKHPANEM_00066	CDS	1404		3.5.2.-		D-hydantoinase
KKHPANEM_00067	gene	876				
KKHPANEM_00067	CDS	876				hypothetical protein
KKHPANEM_00068	gene	1137				
KKHPANEM_00068	CDS	1137				hypothetical protein
KKHPANEM_00069	gene	1155	ybhS			
