locus_tag	ftype	length_bp	gene	EC_number	COG	product
EDELDHIG_00001	gene	444				
EDELDHIG_00001	CDS	444				hypothetical protein
EDELDHIG_00002	gene	486				
EDELDHIG_00002	CDS	486			COG2335	Immunogenic protein MPT70
EDELDHIG_00003	gene	1326				
EDELDHIG_00003	CDS	1326				hypothetical protein
EDELDHIG_00004	gene	885	mepA			
EDELDHIG_00004	CDS	885	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
EDELDHIG_00005	gene	1035	pip			
EDELDHIG_00005	CDS	1035	pip	3.4.11.5		Proline iminopeptidase
EDELDHIG_00006	gene	738	ubiG_1			
EDELDHIG_00006	CDS	738	ubiG_1	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
EDELDHIG_00007	gene	804	uppP			
EDELDHIG_00007	CDS	804	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
EDELDHIG_00008	gene	1443	gltD			
EDELDHIG_00008	CDS	1443	gltD	1.4.1.13		Glutamate synthase [NADPH] small chain
EDELDHIG_00009	gene	4539	gltB			
EDELDHIG_00009	CDS	4539	gltB	1.4.1.13		Glutamate synthase [NADPH] large chain
EDELDHIG_00010	gene	1467				
EDELDHIG_00010	CDS	1467				hypothetical protein
EDELDHIG_00011	gene	477				
EDELDHIG_00011	CDS	477				hypothetical protein
EDELDHIG_00012	gene	417	arfB			
EDELDHIG_00012	CDS	417	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
EDELDHIG_00013	gene	636				
EDELDHIG_00013	CDS	636				queuosine precursor transporter
EDELDHIG_00014	gene	1656	yfkN			
EDELDHIG_00014	CDS	1656	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
EDELDHIG_00015	gene	606	rimP			
EDELDHIG_00015	CDS	606	rimP			Ribosome maturation factor RimP
EDELDHIG_00016	gene	1626	nusA			
EDELDHIG_00016	CDS	1626	nusA		COG0195	Transcription termination/antitermination protein NusA
EDELDHIG_00017	gene	633				
EDELDHIG_00017	CDS	633				hypothetical protein
EDELDHIG_00018	gene	2526	infB			
EDELDHIG_00018	CDS	2526	infB		COG0532	Translation initiation factor IF-2
EDELDHIG_00019	gene	2202				
EDELDHIG_00019	CDS	2202				hypothetical protein
EDELDHIG_00020	gene	672				
EDELDHIG_00020	CDS	672				hypothetical protein
EDELDHIG_00021	gene	1530	ubiB			
EDELDHIG_00021	CDS	1530	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
EDELDHIG_00022	gene	753	ubiE			
