locus_tag	ftype	length_bp	gene	EC_number	COG	product
OJOGLHAG_00001	gene	1191				
OJOGLHAG_00001	CDS	1191				IS66 family transposase ISRosp4
OJOGLHAG_00002	gene	438				
OJOGLHAG_00002	CDS	438				IS21 family transposase ISRsp3
OJOGLHAG_00003	gene	897				
OJOGLHAG_00003	CDS	897				hypothetical protein
OJOGLHAG_00004	gene	618				
OJOGLHAG_00004	CDS	618				hypothetical protein
OJOGLHAG_00005	gene	357				
OJOGLHAG_00005	CDS	357				hypothetical protein
OJOGLHAG_00006	gene	459				
OJOGLHAG_00006	CDS	459				hypothetical protein
OJOGLHAG_00007	gene	1092	bamA_1			
OJOGLHAG_00007	CDS	1092	bamA_1			Outer membrane protein assembly factor BamA
OJOGLHAG_00008	gene	1503				
OJOGLHAG_00008	CDS	1503				hypothetical protein
OJOGLHAG_00009	gene	43977				
OJOGLHAG_00009	CDS	43977				hypothetical protein
OJOGLHAG_00010	gene	327				
OJOGLHAG_00010	CDS	327				hypothetical protein
OJOGLHAG_00011	gene	1830				
OJOGLHAG_00011	CDS	1830				hypothetical protein
OJOGLHAG_00012	gene	2163				
OJOGLHAG_00012	CDS	2163				hypothetical protein
OJOGLHAG_00013	gene	1986	secA_1			
OJOGLHAG_00013	CDS	1986	secA_1		COG0653	Protein translocase subunit SecA
OJOGLHAG_00014	gene	732				
OJOGLHAG_00014	CDS	732				hypothetical protein
OJOGLHAG_00015	gene	210				
OJOGLHAG_00015	CDS	210				hypothetical protein
OJOGLHAG_00016	gene	390				
OJOGLHAG_00016	CDS	390			COG3039	IS5 family transposase ISPak1
OJOGLHAG_00017	gene	348				
OJOGLHAG_00017	CDS	348			COG3039	IS5 family transposase ISPye51
OJOGLHAG_00018	gene	189				
OJOGLHAG_00018	CDS	189				hypothetical protein
OJOGLHAG_00019	gene	1647				
OJOGLHAG_00019	CDS	1647				IS1634 family transposase ISPfe2
OJOGLHAG_00020	gene	1350	hemN_1			
OJOGLHAG_00020	CDS	1350	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
OJOGLHAG_00021	gene	219				
OJOGLHAG_00021	CDS	219				hypothetical protein
OJOGLHAG_00022	gene	570	pdxH_1			
OJOGLHAG_00022	CDS	570	pdxH_1	1.4.3.5		Pyridoxine/pyridoxamine 5'-phosphate oxidase
OJOGLHAG_00023	gene	399				
OJOGLHAG_00023	CDS	399				hypothetical protein
OJOGLHAG_00024	gene	528				
OJOGLHAG_00024	CDS	528				hypothetical protein
OJOGLHAG_00025	gene	705	gntR_1			
OJOGLHAG_00025	CDS	705	gntR_1			putative D-xylose utilization operon transcriptional repressor
OJOGLHAG_00026	gene	1032				
OJOGLHAG_00026	CDS	1032				hypothetical protein
OJOGLHAG_00027	gene	708	maiA			
OJOGLHAG_00027	CDS	708	maiA	5.2.1.1		Maleate isomerase
OJOGLHAG_00028	gene	1152	pepE			
OJOGLHAG_00028	CDS	1152	pepE	3.4.13.-	COG0006	putative dipeptidase PepE
OJOGLHAG_00029	gene	1044	dpaL			
OJOGLHAG_00029	CDS	1044	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
OJOGLHAG_00030	gene	633	nrsF			
OJOGLHAG_00030	CDS	633	nrsF			Anti-sigma-F factor NrsF
OJOGLHAG_00031	gene	543	sigF			
OJOGLHAG_00031	CDS	543	sigF			ECF RNA polymerase sigma factor SigF
OJOGLHAG_00032	gene	756	bphD			
OJOGLHAG_00032	CDS	756	bphD	3.7.1.8	COG0596	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
OJOGLHAG_00033	gene	1302	dctM_1			
OJOGLHAG_00033	CDS	1302	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
OJOGLHAG_00034	gene	525				
OJOGLHAG_00034	CDS	525				hypothetical protein
OJOGLHAG_00035	gene	984				
OJOGLHAG_00035	CDS	984				hypothetical protein
