#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.1.region001	1	1
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000035.1.region001	18	18
GCF_000740785.1_Paenirhodobacter_enshiensis_DW2-9-NZ_JFZB01000007.1.region001	19	19
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000090.1.region001	25	25
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000093.1.region001	55	55
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000004.1.region001	70	70
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000012.1.region001	76	76
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000001.1.region001	78	78
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000004.1.region001	79	79
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000003.1.region001	86	86
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region007	110	110
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000007.1.region001	124	124
