BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_KE386949.1.region001	NZ_KE386949.1	Gemmobacter nectariphilus strain DSM 15620	RiPP-like	RiPPs	Gemmobacter nectariphilus DSM 15620..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000039.1.region001	NZ_AUND01000039.1	Thioclava pacifica strain DSM 10166	redox-cofactor	RiPPs	Thioclava pacifica DSM 10166..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000006.1.region001	NZ_JFGS01000006.1	Haematobacter missouriensis strain CCUG52307	RiPP-like	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000018.1.region001	NZ_JFGS01000018.1	Haematobacter missouriensis strain CCUG52307	RiPP-like	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000028.1.region001	NZ_JFGS01000028.1	Haematobacter missouriensis strain CCUG52307	redox-cofactor	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000068.1.region001	NZ_LGIC01000068.1	Cypionkella psychrotolerans strain PAMC27389	RiPP-like	RiPPs	Cypionkella psychrotolerans PAMC27389..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000002.1.region001	NZ_PZKE01000002.1	Fuscovulum blasticum strain DSM 2131	RRE-containing	RiPPs	Fuscovulum blasticum DSM 2131..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000065.1.region001	NZ_PZKG01000065.1	Cereibacter changlensis strain JA139JA139	RRE-containing	RiPPs	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000187.1.region001	NZ_PZKG01000187.1	Cereibacter changlensis strain JA139JA139	redox-cofactor	RiPPs	Cereibacter changlensis JA139JA139..	
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000007.1.region001	NZ_QNHG01000007.1	Pseudogemmobacter bohemicus strain Cd-10	RRE-containing	RiPPs	Pseudogemmobacter bohemicus Cd-10..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000053.1.region001	NZ_QNVJ01000053.1	Alkalilacustris brevis strain 34079	RRE-containing	RiPPs	Alkalilacustris brevis 34079..	
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region004	NZ_ML137218.1	Falsirhodobacter deserti strain W402	redox-cofactor	RiPPs	Falsirhodobacter deserti W402..	
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000009.1.region001	NZ_JALZWP010000009.1	Roseibaca sp.v10 strain V10	RRE-containing	RiPPs	Roseibaca sp.v10 V10..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000006.1.region001	NZ_FNEA01000006.1	Paracoccus denitrificans strain DSM 413	RiPP-like	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000012.1.region001	NZ_FNEA01000012.1	Paracoccus denitrificans strain DSM 413	thiopeptide.LAP	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000020.1.region001	NZ_FNEA01000020.1	Paracoccus denitrificans strain DSM 413	thioamitides	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000030.1.region001	NZ_FNEA01000030.1	Paracoccus denitrificans strain DSM 413	ranthipeptide	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000019.1.region001	NZ_UIHC01000019.1	Roseibaca ekhonensis strain CECT7235	RRE-containing	RiPPs	Roseibaca ekhonensis CECT7235..	
