#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000001.1.region001	0	0
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_AUCM01000011.1.region001	5	5
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000031.1.region001	20	20
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000001.1.region001	35	35
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000151.1.region001	56	56
GCF_003075525.1_Pararhodobacter_aggregans_D1-19-NZ_QDDR01000014.1.region001	64	64
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000005.1.region001	67	67
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000001.1.region001	69	69
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000004.1.region001	87	87
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000011.1.region001	89	89
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region008	111	111
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000014.1.region002	128	128
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000008.1.region001	132	132
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region003	135	135
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000002.1.region002	135	135
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000007.1.region001	135	135
NZ_JACBXS010000012.1.region001	142	142
NZ_JAFMPR010000012.1.region001	147	147
NZ_JAQZSM010000008.1.region001	150	150
NZ_MJAP01000001.1.region001	152	152
