#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000007.1.region001	2	2
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region002	13	13
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000004.1.region001	39	39
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.1.region001	43	43
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000022.1.region001	43	43
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.1.region002	44	44
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000002.1.region001	46	46
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000018.1.region001	51	51
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.1.region001	53	53
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000079.1.region001	56	56
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000001.1.region001	63	63
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000014.1.region001	66	66
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000001.1.region001	68	68
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000004.1.region001	77	77
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region002	96	96
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region003	97	97
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region001	102	102
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000018.1.region001	102	102
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000003.1.region001	102	102
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.1.region001	102	102
GCF_009908165.1_Frigidibacter_albus_SP32-NZ_JAAAUC010000002.1.region001	104	104
GCF_013415485.1_Rhabdonatronobacter_sediminivivens_IM2376-NZ_JACBXS010000001.1.region001	107	107
GCF_013415485.1_Rhabdonatronobacter_sediminivivens_IM2376-NZ_JACBXS010000001.1.region002	108	108
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region002	114	114
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region006	118	118
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000237.1.region001	122	122
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000273.1.region001	123	123
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region001	127	127
GCF_020667835.1_Roseibaca_sp._Y0-43_Y0-43-NZ_JAFMPR010000008.1.region001	127	127
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000001.1.region001	127	127
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000012.1.region001	127	127
GCF_028745735.1_Roseinatronobacter_sp._HJB301_HJB301-NZ_JAQZSM010000006.1.region001	136	136
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000005.1.region001	148	148
