#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000001.1.region001	0	0
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.1.region001	1	1
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000007.1.region001	2	2
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000011.1.region001	3	3
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000016.1.region001	4	4
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_AUCM01000011.1.region001	5	5
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_KE386949.1.region001	6	6
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000001.1.region001	7	7
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000006.1.region001	8	8
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region001	9	9
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000039.1.region001	11	11
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region001	12	12
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region002	13	13
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000006.1.region001	14	14
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000018.1.region001	15	15
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000028.1.region001	16	16
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000030.1.region001	17	17
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000035.1.region001	18	18
GCF_000740785.1_Paenirhodobacter_enshiensis_DW2-9-NZ_JFZB01000007.1.region001	19	19
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000031.1.region001	20	20
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000055.1.region001	22	22
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000065.1.region001	23	23
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000068.1.region001	24	24
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000090.1.region001	25	25
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region002	30	30
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region001	30	30
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.1.region001	30	30
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.1.region002	30	30
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region003	31	31
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region002	31	31
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.1.region002	31	31
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000001.1.region001	35	35
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000004.1.region001	36	36
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.1.region001	37	37
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000014.1.region001	38	38
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000027.1.region001	39	39
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.1.region001	40	40
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000022.1.region001	40	40
