BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000001.region001	NZ_ATVN01000001	Pseudorhodobacter ferrugineus strain DSM 5888	NRPS-like.T1PKS	PKS-NRP_Hybrids	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.region001	NZ_ATVN01000003	Pseudorhodobacter ferrugineus strain DSM 5888	RiPP-like	RiPPs	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.region002	NZ_ATVN01000003	Pseudorhodobacter ferrugineus strain DSM 5888	NRPS	NRPS	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000007.region001	NZ_ATVN01000007	Pseudorhodobacter ferrugineus strain DSM 5888	terpene	Terpene	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000011.region001	NZ_ATVN01000011	Pseudorhodobacter ferrugineus strain DSM 5888	ectoine	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000016.region001	NZ_ATVN01000016	Pseudorhodobacter ferrugineus strain DSM 5888	hserlactone	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000429765.1_Gemmobacter_nectariphilus_DSM_15620-NZ_AUCM01000011.region001	NZ_AUCM01000011	Gemmobacter nectariphilus strain DSM 15620	T1PKS.NRPS-like	PKS-NRP_Hybrids	Gemmobacter nectariphilus DSM 15620..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000001.region001	NZ_AUND01000001	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000006.region001	NZ_AUND01000006	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000012.region001	NZ_AUND01000012	Thioclava pacifica strain DSM 10166	RiPP-like	RiPPs	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.region001	NZ_AUND01000023	Thioclava pacifica strain DSM 10166	ectoine	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.region002	NZ_AUND01000023	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000039.region001	NZ_AUND01000039	Thioclava pacifica strain DSM 10166	redox-cofactor	Others	Thioclava pacifica DSM 10166..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.region001	NZ_JFGS01000001	Haematobacter missouriensis strain CCUG52307	ectoine	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.region002	NZ_JFGS01000001	Haematobacter missouriensis strain CCUG52307	terpene	Terpene	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000018.region001	NZ_JFGS01000018	Haematobacter missouriensis strain CCUG52307	RiPP-like	RiPPs	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000028.region001	NZ_JFGS01000028	Haematobacter missouriensis strain CCUG52307	redox-cofactor	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000030.region001	NZ_JFGS01000030	Haematobacter missouriensis strain CCUG52307	NAGGN	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000035.region001	NZ_JFGS01000035	Haematobacter missouriensis strain CCUG52307	NRPS	NRPS	Haematobacter missouriensis CCUG52307..	
GCF_000740785.1_Paenirhodobacter_enshiensis_DW2-9-NZ_JFZB01000007.region001	NZ_JFZB01000007	Paenirhodobacter enshiensis strain DW2-9	NRPS-like	NRPS	Paenirhodobacter enshiensis DW2-9..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000031.region001	NZ_LGIC01000031	Cypionkella psychrotolerans strain PAMC27389	T1PKS.NRPS-like	PKS-NRP_Hybrids	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000052.region001	NZ_LGIC01000052	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000055.region001	NZ_LGIC01000055	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000065.region001	NZ_LGIC01000065	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000090.region001	NZ_LGIC01000090	Cypionkella psychrotolerans strain PAMC27389	NRPS-like	NRPS	Cypionkella psychrotolerans PAMC27389..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.region001	NZ_FBYC01000004	Roseibaca calidilacus strain HL-91	terpene	Terpene	Roseibaca calidilacus HL-91..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.region002	NZ_FBYC01000004	Roseibaca calidilacus strain HL-91	ectoine	Others	Roseibaca calidilacus HL-91..	
