locus_tag	ftype	length_bp	gene	EC_number	COG	product
OCPFFIJE_00001	gene	861				
OCPFFIJE_00001	CDS	861				hypothetical protein
OCPFFIJE_00002	gene	1215				
OCPFFIJE_00002	CDS	1215				IS256 family transposase ISPye43
OCPFFIJE_00003	gene	1407				
OCPFFIJE_00003	CDS	1407				hypothetical protein
OCPFFIJE_00004	gene	864				
OCPFFIJE_00004	CDS	864			COG0583	putative HTH-type transcriptional regulator
OCPFFIJE_00005	gene	612	argO_1			
OCPFFIJE_00005	CDS	612	argO_1		COG1279	Arginine exporter protein ArgO
OCPFFIJE_00006	gene	903	dapA_1			
OCPFFIJE_00006	CDS	903	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
OCPFFIJE_00007	gene	876	yddE			
OCPFFIJE_00007	CDS	876	yddE	5.1.-.-	COG0384	putative isomerase YddE
OCPFFIJE_00008	gene	297				
OCPFFIJE_00008	CDS	297				hypothetical protein
OCPFFIJE_00009	gene	1626	gsiA_1			
OCPFFIJE_00009	CDS	1626	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
OCPFFIJE_00010	gene	1386	dapE_1			
OCPFFIJE_00010	CDS	1386	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
OCPFFIJE_00011	gene	885	ddpC_1			
OCPFFIJE_00011	CDS	885	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
OCPFFIJE_00012	gene	918	gsiC_1			
OCPFFIJE_00012	CDS	918	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
OCPFFIJE_00013	gene	1503	hbpA_1			
OCPFFIJE_00013	CDS	1503	hbpA_1		COG0747	Heme-binding protein A
OCPFFIJE_00014	gene	675	rspR_1			
OCPFFIJE_00014	CDS	675	rspR_1		COG1802	HTH-type transcriptional repressor RspR
OCPFFIJE_00015	gene	1149	cpg2			
OCPFFIJE_00015	CDS	1149	cpg2	3.4.17.11		Carboxypeptidase G2
OCPFFIJE_00016	gene	753				
OCPFFIJE_00016	CDS	753				hypothetical protein
OCPFFIJE_00017	gene	927				
OCPFFIJE_00017	CDS	927			COG3039	IS5 family transposase IS4811
OCPFFIJE_00018	gene	432				
OCPFFIJE_00018	CDS	432				hypothetical protein
OCPFFIJE_00019	gene	231				
OCPFFIJE_00019	CDS	231				hypothetical protein
OCPFFIJE_00020	gene	861				
OCPFFIJE_00020	CDS	861				hypothetical protein
OCPFFIJE_00021	gene	1017	msmX			
OCPFFIJE_00021	CDS	1017	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
OCPFFIJE_00022	gene	723				
OCPFFIJE_00022	CDS	723				hypothetical protein
OCPFFIJE_00023	gene	795	araQ_1			
OCPFFIJE_00023	CDS	795	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
OCPFFIJE_00024	gene	867	lacF_1			
OCPFFIJE_00024	CDS	867	lacF_1			Lactose transport system permease protein LacF
OCPFFIJE_00025	gene	1263	ugpB_1			
OCPFFIJE_00025	CDS	1263	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
OCPFFIJE_00026	gene	1434				
OCPFFIJE_00026	CDS	1434				hypothetical protein
OCPFFIJE_00027	gene	1242	hemA_1			
OCPFFIJE_00027	CDS	1242	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
OCPFFIJE_00028	gene	1425	cydA			
OCPFFIJE_00028	CDS	1425	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
OCPFFIJE_00029	gene	1005	cydB			
OCPFFIJE_00029	CDS	1005	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
OCPFFIJE_00030	gene	105				
OCPFFIJE_00030	CDS	105				hypothetical protein
OCPFFIJE_00031	gene	288				
OCPFFIJE_00031	CDS	288				hypothetical protein
OCPFFIJE_00032	gene	1308				
OCPFFIJE_00032	CDS	1308		1.6.99.-	COG1252	NADH dehydrogenase-like protein
OCPFFIJE_00033	gene	1167	gloB_1			
OCPFFIJE_00033	CDS	1167	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
OCPFFIJE_00034	gene	1194	crtX			
OCPFFIJE_00034	CDS	1194	crtX	2.4.1.276		Zeaxanthin glucosyltransferase
OCPFFIJE_00035	gene	546				
OCPFFIJE_00035	CDS	546				hypothetical protein
OCPFFIJE_00036	gene	771				
OCPFFIJE_00036	CDS	771				hypothetical protein
OCPFFIJE_00037	gene	453				
OCPFFIJE_00037	CDS	453				hypothetical protein
OCPFFIJE_00038	gene	822	ydbD_1			
OCPFFIJE_00038	CDS	822	ydbD_1	1.11.1.6	COG3546	putative manganese catalase
OCPFFIJE_00039	gene	513	yciE			
OCPFFIJE_00039	CDS	513	yciE		COG3685	Protein YciE
OCPFFIJE_00040	gene	1692	katA_1			
OCPFFIJE_00040	CDS	1692	katA_1	1.11.1.6	COG0753	Catalase
OCPFFIJE_00041	gene	633				
OCPFFIJE_00041	CDS	633				hypothetical protein
OCPFFIJE_00042	gene	1845	rcsC_1			
OCPFFIJE_00042	CDS	1845	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
OCPFFIJE_00043	gene	861				
OCPFFIJE_00043	CDS	861				hypothetical protein
OCPFFIJE_00044	gene	3048	rcsC_2			
OCPFFIJE_00044	CDS	3048	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
OCPFFIJE_00045	gene	543				
OCPFFIJE_00045	CDS	543				hypothetical protein
OCPFFIJE_00046	gene	1314	rutG			
OCPFFIJE_00046	CDS	1314	rutG		COG2233	Putative pyrimidine permease RutG
OCPFFIJE_00047	gene	360	yqjF			
OCPFFIJE_00047	CDS	360	yqjF		COG2259	Inner membrane protein YqjF
OCPFFIJE_00048	gene	870				
OCPFFIJE_00048	CDS	870				hypothetical protein
OCPFFIJE_00049	gene	666				
OCPFFIJE_00049	CDS	666				hypothetical protein
OCPFFIJE_00050	gene	465	queF			
OCPFFIJE_00050	CDS	465	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
OCPFFIJE_00051	gene	696	queE			
OCPFFIJE_00051	CDS	696	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
OCPFFIJE_00052	gene	357	queD			
OCPFFIJE_00052	CDS	357	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
OCPFFIJE_00053	gene	696	queC			
OCPFFIJE_00053	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
OCPFFIJE_00054	gene	1203	ygiC			
OCPFFIJE_00054	CDS	1203	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
OCPFFIJE_00055	gene	567				
OCPFFIJE_00055	CDS	567				hypothetical protein
OCPFFIJE_00056	gene	1125	gpsA2			
OCPFFIJE_00056	CDS	1125	gpsA2	1.1.1.94	COG0240	putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+]
OCPFFIJE_00057	gene	1422	oprM			
OCPFFIJE_00057	CDS	1422	oprM		COG1538	Outer membrane protein OprM
OCPFFIJE_00058	gene	585				
OCPFFIJE_00058	CDS	585				hypothetical protein
OCPFFIJE_00059	gene	747				
OCPFFIJE_00059	CDS	747				hypothetical protein
OCPFFIJE_00060	gene	873				
OCPFFIJE_00060	CDS	873		3.1.1.99		6-deoxy-6-sulfogluconolactonase
OCPFFIJE_00061	gene	741				
OCPFFIJE_00061	CDS	741				hypothetical protein
OCPFFIJE_00062	gene	693	psd			
OCPFFIJE_00062	CDS	693	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
OCPFFIJE_00063	gene	2106	fhuA_1			
OCPFFIJE_00063	CDS	2106	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
OCPFFIJE_00064	gene	996				
OCPFFIJE_00064	CDS	996				hypothetical protein
OCPFFIJE_00065	gene	85				
OCPFFIJE_00065	tRNA	85				tRNA-Leu(cag)
OCPFFIJE_00066	gene	981				
OCPFFIJE_00066	CDS	981				hypothetical protein
OCPFFIJE_00067	gene	798	uppP			
