locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDDIDNMG_00001	gene	516				
CDDIDNMG_00001	CDS	516				IS21 family transposase ISCsp3
CDDIDNMG_00002	gene	927				
CDDIDNMG_00002	CDS	927				hypothetical protein
CDDIDNMG_00003	gene	393				
CDDIDNMG_00003	CDS	393				IS3 family transposase ISXau3
CDDIDNMG_00004	gene	1104				
CDDIDNMG_00004	CDS	1104				hypothetical protein
CDDIDNMG_00005	gene	1224	yfcJ_1			
CDDIDNMG_00005	CDS	1224	yfcJ_1			putative MFS-type transporter YfcJ
CDDIDNMG_00006	gene	759				
CDDIDNMG_00006	CDS	759				hypothetical protein
CDDIDNMG_00007	gene	2538	mgtA			
CDDIDNMG_00007	CDS	2538	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
CDDIDNMG_00008	gene	495				
CDDIDNMG_00008	CDS	495				hypothetical protein
CDDIDNMG_00009	gene	276				
CDDIDNMG_00009	CDS	276				IS3 family transposase IS1133
CDDIDNMG_00010	gene	522				
CDDIDNMG_00010	CDS	522				hypothetical protein
CDDIDNMG_00011	gene	426				
CDDIDNMG_00011	CDS	426			COG2826	IS30 family transposase IST3091
CDDIDNMG_00012	gene	402				
CDDIDNMG_00012	CDS	402				hypothetical protein
CDDIDNMG_00013	gene	825				
CDDIDNMG_00013	CDS	825			COG0823	putative protein
CDDIDNMG_00014	gene	774				
CDDIDNMG_00014	CDS	774				hypothetical protein
CDDIDNMG_00015	gene	1389	hsrA_1			
CDDIDNMG_00015	CDS	1389	hsrA_1			putative transport protein HsrA
CDDIDNMG_00016	gene	1053				
CDDIDNMG_00016	CDS	1053				hypothetical protein
CDDIDNMG_00017	gene	642	betI_1			
CDDIDNMG_00017	CDS	642	betI_1			HTH-type transcriptional regulator BetI
CDDIDNMG_00018	gene	1134	cntA			
CDDIDNMG_00018	CDS	1134	cntA	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
CDDIDNMG_00019	gene	1218				
CDDIDNMG_00019	CDS	1218		1.14.13.239		Carnitine monooxygenase oxygenase subunit
CDDIDNMG_00020	gene	1101	spuE_1			
