locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFGDCJBF_00001	gene	390				
DFGDCJBF_00001	CDS	390				hypothetical protein
DFGDCJBF_00002	gene	321				
DFGDCJBF_00002	CDS	321				hypothetical protein
DFGDCJBF_00003	gene	300				
DFGDCJBF_00003	CDS	300				hypothetical protein
DFGDCJBF_00004	gene	267				
DFGDCJBF_00004	CDS	267				hypothetical protein
DFGDCJBF_00005	gene	522				
DFGDCJBF_00005	CDS	522				hypothetical protein
DFGDCJBF_00006	gene	210				
DFGDCJBF_00006	CDS	210				hypothetical protein
DFGDCJBF_00007	gene	759				
DFGDCJBF_00007	CDS	759				hypothetical protein
DFGDCJBF_00008	gene	237				
DFGDCJBF_00008	CDS	237				hypothetical protein
DFGDCJBF_00009	gene	1071				
DFGDCJBF_00009	CDS	1071				hypothetical protein
DFGDCJBF_00010	gene	1419				
DFGDCJBF_00010	CDS	1419				hypothetical protein
DFGDCJBF_00011	gene	453				
DFGDCJBF_00011	CDS	453				hypothetical protein
DFGDCJBF_00012	gene	1074				
DFGDCJBF_00012	CDS	1074				hypothetical protein
DFGDCJBF_00013	gene	978				
DFGDCJBF_00013	CDS	978				hypothetical protein
DFGDCJBF_00014	gene	1380				
DFGDCJBF_00014	CDS	1380				hypothetical protein
DFGDCJBF_00015	gene	831				
DFGDCJBF_00015	CDS	831				IS21 family transposase ISRel3
DFGDCJBF_00016	gene	693				
DFGDCJBF_00016	CDS	693				hypothetical protein
DFGDCJBF_00017	gene	294				
DFGDCJBF_00017	CDS	294				hypothetical protein
DFGDCJBF_00018	gene	216				
DFGDCJBF_00018	CDS	216				hypothetical protein
DFGDCJBF_00019	gene	294				
DFGDCJBF_00019	CDS	294				hypothetical protein
DFGDCJBF_00020	gene	297				
DFGDCJBF_00020	CDS	297				IS66 family transposase ISPpa5
DFGDCJBF_00021	gene	159				
DFGDCJBF_00021	CDS	159				hypothetical protein
DFGDCJBF_00022	gene	1518				
DFGDCJBF_00022	CDS	1518				hypothetical protein
DFGDCJBF_00023	gene	264				
DFGDCJBF_00023	CDS	264				hypothetical protein
DFGDCJBF_00024	gene	369				
DFGDCJBF_00024	CDS	369				hypothetical protein
DFGDCJBF_00025	gene	294				
