locus_tag	ftype	length_bp	gene	EC_number	COG	product
	repeat_region	761				
LBIMNCPI_00001	gene	77				
LBIMNCPI_00001	tRNA	77				tRNA-Met(cat)
LBIMNCPI_00002	gene	849				
LBIMNCPI_00002	CDS	849				hypothetical protein
LBIMNCPI_00003	gene	204				
LBIMNCPI_00003	CDS	204				hypothetical protein
LBIMNCPI_00004	gene	2430	actP			
LBIMNCPI_00004	CDS	2430	actP	7.2.2.9		Copper-transporting P-type ATPase
LBIMNCPI_00005	gene	1548	eryB			
LBIMNCPI_00005	CDS	1548	eryB	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
LBIMNCPI_00006	gene	477				
LBIMNCPI_00006	CDS	477				hypothetical protein
LBIMNCPI_00007	gene	2502				
LBIMNCPI_00007	CDS	2502				hypothetical protein
LBIMNCPI_00008	gene	687	yknY			
LBIMNCPI_00008	CDS	687	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
LBIMNCPI_00009	gene	639	tesA			
LBIMNCPI_00009	CDS	639	tesA	3.1.1.1	COG2755	Esterase TesA
LBIMNCPI_00010	gene	1209				
LBIMNCPI_00010	CDS	1209				hypothetical protein
LBIMNCPI_00011	gene	1386				
LBIMNCPI_00011	CDS	1386		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
LBIMNCPI_00012	gene	939	hemC			
LBIMNCPI_00012	CDS	939	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LBIMNCPI_00013	gene	1032	hemE			
LBIMNCPI_00013	CDS	1032	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
LBIMNCPI_00014	gene	1959	deaD			
LBIMNCPI_00014	CDS	1959	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
LBIMNCPI_00015	gene	882	hemF			
LBIMNCPI_00015	CDS	882	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
LBIMNCPI_00016	gene	471				
LBIMNCPI_00016	CDS	471				hypothetical protein
LBIMNCPI_00017	gene	810	bacC			
LBIMNCPI_00017	CDS	810	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
LBIMNCPI_00018	gene	1077	rsmC			
LBIMNCPI_00018	CDS	1077	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
LBIMNCPI_00019	gene	384	clpS			
LBIMNCPI_00019	CDS	384	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
LBIMNCPI_00020	gene	723				
LBIMNCPI_00020	CDS	723				hypothetical protein
LBIMNCPI_00021	gene	1833				
LBIMNCPI_00021	CDS	1833				hypothetical protein
LBIMNCPI_00022	gene	840				
LBIMNCPI_00022	CDS	840				hypothetical protein
LBIMNCPI_00023	gene	747	fixK			
LBIMNCPI_00023	CDS	747	fixK		COG0664	Nitrogen fixation regulation protein FixK
LBIMNCPI_00024	gene	1350	hemN			
LBIMNCPI_00024	CDS	1350	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
LBIMNCPI_00025	gene	1593	yejF			
LBIMNCPI_00025	CDS	1593	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
LBIMNCPI_00026	gene	1107	yejE			
LBIMNCPI_00026	CDS	1107	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
LBIMNCPI_00027	gene	1155	yejB			
LBIMNCPI_00027	CDS	1155	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
LBIMNCPI_00028	gene	1935				
LBIMNCPI_00028	CDS	1935				hypothetical protein
LBIMNCPI_00029	gene	885	pheA			
LBIMNCPI_00029	CDS	885	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
LBIMNCPI_00030	gene	465				
LBIMNCPI_00030	CDS	465				hypothetical protein
LBIMNCPI_00031	gene	2007	yfkN_1			
LBIMNCPI_00031	CDS	2007	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
LBIMNCPI_00032	gene	555				
LBIMNCPI_00032	CDS	555				hypothetical protein
LBIMNCPI_00033	gene	1125	prfB			
LBIMNCPI_00033	CDS	1125	prfB		COG1186	Peptide chain release factor RF2
LBIMNCPI_00034	gene	2520	mrcA			
LBIMNCPI_00034	CDS	2520	mrcA		COG5009	Penicillin-binding protein 1A
LBIMNCPI_00035	gene	1254	amiC_1			
LBIMNCPI_00035	CDS	1254	amiC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
LBIMNCPI_00036	gene	1137	aspC_1			
LBIMNCPI_00036	CDS	1137	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
LBIMNCPI_00037	gene	753				
LBIMNCPI_00037	CDS	753				hypothetical protein
LBIMNCPI_00038	gene	1377	dapE_1			
LBIMNCPI_00038	CDS	1377	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
LBIMNCPI_00039	gene	1230	hemA			
LBIMNCPI_00039	CDS	1230	hemA	2.3.1.37	COG0156	5-aminolevulinate synthase
LBIMNCPI_00040	gene	1257				
LBIMNCPI_00040	CDS	1257				hypothetical protein
LBIMNCPI_00041	gene	1119	ispG			
LBIMNCPI_00041	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LBIMNCPI_00042	gene	1143	proB			
LBIMNCPI_00042	CDS	1143	proB	2.7.2.11	COG0263	Glutamate 5-kinase
LBIMNCPI_00043	gene	1026	cgtA			
LBIMNCPI_00043	CDS	1026	cgtA	3.6.5.-		GTPase Obg/CgtA
LBIMNCPI_00044	gene	540				
LBIMNCPI_00044	CDS	540				hypothetical protein
LBIMNCPI_00045	gene	270	rpmA			
LBIMNCPI_00045	CDS	270	rpmA		COG0211	50S ribosomal protein L27
LBIMNCPI_00046	gene	387	rplU			
LBIMNCPI_00046	CDS	387	rplU		COG0261	50S ribosomal protein L21
LBIMNCPI_00047	gene	1827	uup			
LBIMNCPI_00047	CDS	1827	uup		COG0488	ABC transporter ATP-binding protein uup
LBIMNCPI_00048	gene	792				
LBIMNCPI_00048	CDS	792				hypothetical protein
LBIMNCPI_00049	gene	480				
LBIMNCPI_00049	CDS	480				hypothetical protein
LBIMNCPI_00050	gene	567				
LBIMNCPI_00050	CDS	567				hypothetical protein
LBIMNCPI_00051	gene	207				
LBIMNCPI_00051	CDS	207				hypothetical protein
LBIMNCPI_00052	gene	1167	plsX			
LBIMNCPI_00052	CDS	1167	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
LBIMNCPI_00053	gene	975	fabH			
LBIMNCPI_00053	CDS	975	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
LBIMNCPI_00054	gene	303	ihfA			
LBIMNCPI_00054	CDS	303	ihfA		COG0776	Integration host factor subunit alpha
LBIMNCPI_00055	gene	1035				
LBIMNCPI_00055	CDS	1035				hypothetical protein
LBIMNCPI_00056	gene	78				
LBIMNCPI_00056	tRNA	78				tRNA-Pro(ggg)
LBIMNCPI_00057	gene	1080	dcd			
LBIMNCPI_00057	CDS	1080	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
LBIMNCPI_00058	gene	207				
LBIMNCPI_00058	CDS	207				hypothetical protein
LBIMNCPI_00059	gene	642	scpB			
LBIMNCPI_00059	CDS	642	scpB			Segregation and condensation protein B
LBIMNCPI_00060	gene	798	scpA			
LBIMNCPI_00060	CDS	798	scpA		COG1354	Segregation and condensation protein A
LBIMNCPI_00061	gene	1002	nagZ_1			
LBIMNCPI_00061	CDS	1002	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
LBIMNCPI_00062	gene	1062				
LBIMNCPI_00062	CDS	1062				hypothetical protein
LBIMNCPI_00063	gene	1746	argS			
LBIMNCPI_00063	CDS	1746	argS	6.1.1.19		Arginine--tRNA ligase
LBIMNCPI_00064	gene	1596	rhlE_1			
LBIMNCPI_00064	CDS	1596	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
LBIMNCPI_00065	gene	1731	metG			
LBIMNCPI_00065	CDS	1731	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
LBIMNCPI_00066	gene	429	ccmE			
LBIMNCPI_00066	CDS	429	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
LBIMNCPI_00067	gene	1029	argC			
LBIMNCPI_00067	CDS	1029	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
LBIMNCPI_00068	gene	663				
LBIMNCPI_00068	CDS	663				hypothetical protein
LBIMNCPI_00069	gene	813	murI			
LBIMNCPI_00069	CDS	813	murI	5.1.1.3		Glutamate racemase
LBIMNCPI_00070	gene	933	hdfR_1			
LBIMNCPI_00070	CDS	933	hdfR_1			HTH-type transcriptional regulator HdfR
LBIMNCPI_00071	gene	627				
LBIMNCPI_00071	CDS	627				hypothetical protein
LBIMNCPI_00072	gene	2163	purL			
LBIMNCPI_00072	CDS	2163	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
LBIMNCPI_00073	gene	243				
LBIMNCPI_00073	CDS	243			COG0271	putative protein RP812
LBIMNCPI_00074	gene	360	grxD			
LBIMNCPI_00074	CDS	360	grxD		COG0278	Glutaredoxin 4
LBIMNCPI_00075	gene	576				
LBIMNCPI_00075	CDS	576				hypothetical protein
LBIMNCPI_00076	gene	279				
LBIMNCPI_00076	CDS	279				hypothetical protein
LBIMNCPI_00077	gene	840	panC			
LBIMNCPI_00077	CDS	840	panC	6.3.2.1	COG0414	Pantothenate synthetase
LBIMNCPI_00078	gene	1476	dppA_1			
LBIMNCPI_00078	CDS	1476	dppA_1		COG0747	Periplasmic dipeptide transport protein
LBIMNCPI_00079	gene	984				
LBIMNCPI_00079	CDS	984				hypothetical protein
LBIMNCPI_00080	gene	1110				
LBIMNCPI_00080	CDS	1110				hypothetical protein
LBIMNCPI_00081	gene	2667	topA			
LBIMNCPI_00081	CDS	2667	topA	5.6.2.1	COG0550	DNA topoisomerase 1
LBIMNCPI_00082	gene	3519	dnaE1			
LBIMNCPI_00082	CDS	3519	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
LBIMNCPI_00083	gene	1428				
LBIMNCPI_00083	CDS	1428				hypothetical protein
LBIMNCPI_00084	gene	2316	mop			
LBIMNCPI_00084	CDS	2316	mop	1.2.99.7		Aldehyde oxidoreductase
LBIMNCPI_00085	gene	945				
LBIMNCPI_00085	CDS	945				hypothetical protein
LBIMNCPI_00086	gene	1542	rbsA_1			
LBIMNCPI_00086	CDS	1542	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
LBIMNCPI_00087	gene	1080				
LBIMNCPI_00087	CDS	1080				hypothetical protein
LBIMNCPI_00088	gene	933				
LBIMNCPI_00088	CDS	933				hypothetical protein
LBIMNCPI_00089	gene	1080				
LBIMNCPI_00089	CDS	1080				Purine-binding protein
LBIMNCPI_00090	gene	1080				
LBIMNCPI_00090	CDS	1080				hypothetical protein
LBIMNCPI_00091	gene	459	yqeY			
LBIMNCPI_00091	CDS	459	yqeY		COG1610	putative protein YqeY
LBIMNCPI_00092	gene	1164	carA			
LBIMNCPI_00092	CDS	1164	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
LBIMNCPI_00093	gene	1938				
LBIMNCPI_00093	CDS	1938				hypothetical protein
LBIMNCPI_00094	gene	639	gntR_1			
LBIMNCPI_00094	CDS	639	gntR_1			putative D-xylose utilization operon transcriptional repressor
LBIMNCPI_00095	gene	681				
LBIMNCPI_00095	CDS	681				hypothetical protein
LBIMNCPI_00096	gene	1194	ubiL_1			
LBIMNCPI_00096	CDS	1194	ubiL_1	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
LBIMNCPI_00097	gene	621	ureG			
LBIMNCPI_00097	CDS	621	ureG		COG0378	Urease accessory protein UreG
LBIMNCPI_00098	gene	672	ureF			
LBIMNCPI_00098	CDS	672	ureF		COG0830	Urease accessory protein UreF
LBIMNCPI_00099	gene	504	ureE1			
LBIMNCPI_00099	CDS	504	ureE1			Urease accessory protein UreE 1
LBIMNCPI_00100	gene	1707	ureC1			
LBIMNCPI_00100	CDS	1707	ureC1	3.5.1.5		Urease subunit alpha 1
LBIMNCPI_00101	gene	306	ureB1			
LBIMNCPI_00101	CDS	306	ureB1	3.5.1.5		Urease subunit beta 1
LBIMNCPI_00102	gene	303	ureA1			
LBIMNCPI_00102	CDS	303	ureA1	3.5.1.5		Urease subunit gamma 1
LBIMNCPI_00103	gene	822	ureD			
LBIMNCPI_00103	CDS	822	ureD		COG0829	Urease accessory protein UreD
LBIMNCPI_00104	gene	459	decR_1			
LBIMNCPI_00104	CDS	459	decR_1		COG1522	DNA-binding transcriptional activator DecR
LBIMNCPI_00105	gene	459	decR_2			
LBIMNCPI_00105	CDS	459	decR_2		COG1522	DNA-binding transcriptional activator DecR
LBIMNCPI_00106	gene	1023	ilvC			
LBIMNCPI_00106	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
LBIMNCPI_00107	gene	714				
LBIMNCPI_00107	CDS	714				hypothetical protein
LBIMNCPI_00108	gene	1344	glmM			
LBIMNCPI_00108	CDS	1344	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
LBIMNCPI_00109	gene	1020	folP			
LBIMNCPI_00109	CDS	1020	folP	2.5.1.15	COG0294	Dihydropteroate synthase
LBIMNCPI_00110	gene	912				
LBIMNCPI_00110	CDS	912				hypothetical protein
LBIMNCPI_00111	gene	672				
LBIMNCPI_00111	CDS	672				hypothetical protein
LBIMNCPI_00112	gene	2562	ppdK			
LBIMNCPI_00112	CDS	2562	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
LBIMNCPI_00113	gene	2061	glyS			
LBIMNCPI_00113	CDS	2061	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
LBIMNCPI_00114	gene	954	glyQ			
LBIMNCPI_00114	CDS	954	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
LBIMNCPI_00115	gene	1923				
LBIMNCPI_00115	CDS	1923				hypothetical protein
LBIMNCPI_00116	gene	3435	pycA			
LBIMNCPI_00116	CDS	3435	pycA	6.4.1.1		Pyruvate carboxylase
LBIMNCPI_00117	gene	75				
LBIMNCPI_00117	tRNA	75				tRNA-Gly(gcc)
LBIMNCPI_00118	gene	75				
LBIMNCPI_00118	tRNA	75				tRNA-Gly(gcc)
LBIMNCPI_00119	gene	588	hisB			
LBIMNCPI_00119	CDS	588	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
LBIMNCPI_00120	gene	639	hisH			
LBIMNCPI_00120	CDS	639	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
LBIMNCPI_00121	gene	720	hisA			
LBIMNCPI_00121	CDS	720	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
LBIMNCPI_00122	gene	762	hisF			
LBIMNCPI_00122	CDS	762	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
LBIMNCPI_00123	gene	312	hisE			
LBIMNCPI_00123	CDS	312	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
LBIMNCPI_00124	gene	444				
LBIMNCPI_00124	CDS	444				hypothetical protein
LBIMNCPI_00125	gene	777	occP_1			
LBIMNCPI_00125	CDS	777	occP_1			Octopine permease ATP-binding protein P
LBIMNCPI_00126	gene	723	artI_1			
LBIMNCPI_00126	CDS	723	artI_1		COG0834	Putative ABC transporter arginine-binding protein 2
LBIMNCPI_00127	gene	882	hisQ			
LBIMNCPI_00127	CDS	882	hisQ		COG4215	Histidine transport system permease protein HisQ
LBIMNCPI_00128	gene	831				
LBIMNCPI_00128	CDS	831				hypothetical protein
LBIMNCPI_00129	gene	1332	puuA_1			
LBIMNCPI_00129	CDS	1332	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
LBIMNCPI_00130	gene	1500				
LBIMNCPI_00130	CDS	1500				hypothetical protein
LBIMNCPI_00131	gene	678	ipuF			
LBIMNCPI_00131	CDS	678	ipuF	3.4.-.-		Gamma-glutamyl-L-1-hydroxyisopropylamide hydrolase
LBIMNCPI_00132	gene	1362	puuA_2			
LBIMNCPI_00132	CDS	1362	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
LBIMNCPI_00133	gene	1308	puuB_1			
