#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000007.region001	3	3
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.region002	14	14
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region001	28	28
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000018.region001	28	28
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000003.region001	28	28
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.region001	28	28
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000004.region001	35	35
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.region001	40	40
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000022.region001	40	40
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.region002	41	41
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000002.region001	44	44
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000018.region001	50	50
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.region001	52	52
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000079.region001	55	55
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000001.region001	62	62
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000014.region001	65	65
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000001.region001	68	68
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000004.region001	79	79
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region002	101	101
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region003	102	102
GCF_009908165.1_Frigidibacter_albus_SP32-c00022_NZ_JAAA...region001	110	110
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region002	115	115
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region006	119	119
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000237.region001	123	123
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000273.region001	124	124
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.region001	127	127
GCF_023336755.1_Roseibaca_sp.V10_V10-c00001_NZ_JALZ...region001	127	127
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000012.region001	127	127
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000005.region001	144	144
