BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000011.1.region001	NZ_ATVN01000011.1	Pseudorhodobacter ferrugineus strain DSM 5888	ectoine	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000016.1.region001	NZ_ATVN01000016.1	Pseudorhodobacter ferrugineus strain DSM 5888	hserlactone	Others	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000001.1.region001	NZ_AUND01000001.1	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000006.1.region001	NZ_AUND01000006.1	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region001	NZ_AUND01000023.1	Thioclava pacifica strain DSM 10166	ectoine	Others	Thioclava pacifica DSM 10166..	
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region002	NZ_AUND01000023.1	Thioclava pacifica strain DSM 10166	hserlactone	Others	Thioclava pacifica DSM 10166..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000001.1.region001	NZ_JFGS01000001.1	Haematobacter missouriensis strain CCUG52307	ectoine	Others	Haematobacter missouriensis CCUG52307..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000030.1.region001	NZ_JFGS01000030.1	Haematobacter missouriensis strain CCUG52307	NAGGN	Others	Haematobacter missouriensis CCUG52307..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000052.1.region001	NZ_LGIC01000052.1	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000055.1.region001	NZ_LGIC01000055.1	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000065.1.region001	NZ_LGIC01000065.1	Cypionkella psychrotolerans strain PAMC27389	hserlactone	Others	Cypionkella psychrotolerans PAMC27389..	
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region002	NZ_FBYC01000004.1	Roseibaca calidilacus strain HL-91	ectoine	Others	Roseibaca calidilacus HL-91..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region002	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	ectoine	Others	Rhodobaca barguzinensis alga05..	
GCF_001870665.2_Rhodobaca_barguzinensis_alga05-NZ_CP024899.1.region003	NZ_CP024899.1	Rhodobaca barguzinensis strain alga05	hserlactone	Others	Rhodobaca barguzinensis alga05..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region001	NZ_MEHT01000009.1	Roseinatronobacter thiooxidans strain ALG1	terpene.ectoine	Others	Roseinatronobacter thiooxidans ALG1..	
GCF_001870675.1_Roseinatronobacter_thiooxidans_ALG1-NZ_MEHT01000009.1.region002	NZ_MEHT01000009.1	Roseinatronobacter thiooxidans strain ALG1	hserlactone	Others	Roseinatronobacter thiooxidans ALG1..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.1.region001	NZ_PHSN01000005.1	Acidimangrovimonas sediminis strain MS2-2	hserlactone	Others	Acidimangrovimonas sediminis MS2-2..	
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000027.1.region001	NZ_PHSN01000027.1	Acidimangrovimonas sediminis strain MS2-2	ectoine	Others	Acidimangrovimonas sediminis MS2-2..	
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000007.1.region001	NZ_PJON01000007.1	Tabrizicola aquatica strain RCRI19	hserlactone	Others	Tabrizicola aquatica RCRI19..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.1.region001	NZ_PRDS01000005.1	Albidovulum inexpectatum strain DSM 12048	hserlactone	Others	Albidovulum inexpectatum DSM 12048..	
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.1.region002	NZ_PRDS01000005.1	Albidovulum inexpectatum strain DSM 12048	hserlactone	Others	Albidovulum inexpectatum DSM 12048..	
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000012.1.region001	NZ_PZKE01000012.1	Fuscovulum blasticum strain DSM 2131	hserlactone	Others	Fuscovulum blasticum DSM 2131..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.1.region002	NZ_PZKG01000002.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000089.1.region001	NZ_PZKG01000089.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000251.1.region001	NZ_PZKG01000251.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000318.1.region001	NZ_PZKG01000318.1	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000007.1.region001	NZ_PZKF01000007.1	Phaeovulum veldkampii strain DSM 11550	betalactone	Others	Phaeovulum veldkampii DSM 11550..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000013.1.region001	NZ_PZKF01000013.1	Phaeovulum veldkampii strain DSM 11550	hserlactone	Others	Phaeovulum veldkampii DSM 11550..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000002.1.region001	NZ_QDKM01000002.1	Pararhodobacter oceanensis strain AM505	ectoine	Others	Pararhodobacter oceanensis AM505..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000010.1.region001	NZ_QDKM01000010.1	Pararhodobacter oceanensis strain AM505	betalactone	Others	Pararhodobacter oceanensis AM505..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000007.1.region001	NZ_QEYD01000007.1	Pararhodobacter marinus strain CIC4N-9	ectoine	Others	Pararhodobacter marinus CIC4N-9..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000009.1.region001	NZ_QEYD01000009.1	Pararhodobacter marinus strain CIC4N-9	betalactone	Others	Pararhodobacter marinus CIC4N-9..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000002.1.region001	NZ_QKZO01000002.1	Rhodobacter capsulatus strain DSM 1710	hserlactone	Others	Rhodobacter capsulatus DSM 1710..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000006.1.region001	NZ_QKZO01000006.1	Rhodobacter capsulatus strain DSM 1710	hserlactone	Others	Rhodobacter capsulatus DSM 1710..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000015.1.region001	NZ_QKZO01000015.1	Rhodobacter capsulatus strain DSM 1710	NRP-metallophore.NRPS	Others	Rhodobacter capsulatus DSM 1710..	
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000006.1.region001	NZ_QNHG01000006.1	Pseudogemmobacter bohemicus strain Cd-10	hserlactone	Others	Pseudogemmobacter bohemicus Cd-10..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000007.1.region001	NZ_QNVJ01000007.1	Alkalilacustris brevis strain 34079	betalactone	Others	Alkalilacustris brevis 34079..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000008.1.region001	NZ_QNVJ01000008.1	Alkalilacustris brevis strain 34079	ectoine	Others	Alkalilacustris brevis 34079..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000054.1.region001	NZ_QNVJ01000054.1	Alkalilacustris brevis strain 34079	hserlactone	Others	Alkalilacustris brevis 34079..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000002.1.region001	NZ_RRYH01000002.1	Solirhodobacter olei strain Pet-1	hserlactone	Others	Solirhodobacter olei Pet-1..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000015.1.region001	NZ_RRYH01000015.1	Solirhodobacter olei strain Pet-1	hserlactone	Others	Solirhodobacter olei Pet-1..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000029.1.region001	NZ_RRYH01000029.1	Solirhodobacter olei strain Pet-1	hserlactone.NRPS-like	Others	Solirhodobacter olei Pet-1..	
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region001	NZ_ML137218.1	Falsirhodobacter deserti strain W402	hserlactone	Others	Falsirhodobacter deserti W402..	
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.1.region001	NZ_SORN01000002.1	Rhodobaca bogoriensis strain DSM 18756	ectoine	Others	Rhodobaca bogoriensis DSM 18756..	
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.1.region002	NZ_SORN01000002.1	Rhodobaca bogoriensis strain DSM 18756	hserlactone	Others	Rhodobaca bogoriensis DSM 18756..	
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.1.region002	NZ_VFPT01000001.1	Roseinatronobacter monicus strain DSM 18423	terpene.ectoine	Others	Roseinatronobacter monicus DSM 18423..	
GCF_009908165.1_Frigidibacter_albus_SP32-NZ_JAAAUC010000009.1.region001	NZ_JAAAUC010000009.1	Frigidibacter albus strain SP32	hserlactone	Others	Frigidibacter albus SP32..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region001	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	ectoine	Others	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region003	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	betalactone	Others	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region004	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	hserlactone	Others	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region005	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	ectoine	Others	Roseicitreum antarcticum ZS2-28..	
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000218.1.region001	NZ_NHSD01000218.1	Rhodobaculum claviforme strain LMG28126	ectoine	Others	Rhodobaculum claviforme LMG28126..	
