locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEILGKOC_00001	gene	1353	dnaA			
OEILGKOC_00001	CDS	1353	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OEILGKOC_00002	gene	1119	dnaN			
OEILGKOC_00002	CDS	1119	dnaN			Beta sliding clamp
OEILGKOC_00003	gene	1149	recF			
OEILGKOC_00003	CDS	1149	recF		COG1195	DNA replication and repair protein RecF
OEILGKOC_00004	gene	621				
OEILGKOC_00004	CDS	621				hypothetical protein
OEILGKOC_00005	gene	1980				
OEILGKOC_00005	CDS	1980				hypothetical protein
OEILGKOC_00006	gene	879	dapA_1			
OEILGKOC_00006	CDS	879	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
OEILGKOC_00007	gene	1077				
OEILGKOC_00007	CDS	1077				hypothetical protein
OEILGKOC_00008	gene	966				
OEILGKOC_00008	CDS	966				hypothetical protein
OEILGKOC_00009	gene	606	leuD1			
OEILGKOC_00009	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
OEILGKOC_00010	gene	1413	leuC			
OEILGKOC_00010	CDS	1413	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
OEILGKOC_00011	gene	387	rsfS			
OEILGKOC_00011	CDS	387	rsfS			Ribosomal silencing factor RsfS
OEILGKOC_00012	gene	471	rlmH			
OEILGKOC_00012	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
OEILGKOC_00013	gene	906	dmlR_1			
OEILGKOC_00013	CDS	906	dmlR_1			HTH-type transcriptional regulator DmlR
OEILGKOC_00014	gene	2121				
OEILGKOC_00014	CDS	2121				hypothetical protein
OEILGKOC_00015	gene	501	mobB			
OEILGKOC_00015	CDS	501	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
OEILGKOC_00016	gene	609	mobA_1			
OEILGKOC_00016	CDS	609	mobA_1	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
OEILGKOC_00017	gene	870	fdhD			
OEILGKOC_00017	CDS	870	fdhD		COG1526	Sulfur carrier protein FdhD
OEILGKOC_00018	gene	513				
OEILGKOC_00018	CDS	513				hypothetical protein
OEILGKOC_00019	gene	2613	clpB			
OEILGKOC_00019	CDS	2613	clpB			Chaperone protein ClpB
OEILGKOC_00020	gene	561				
OEILGKOC_00020	CDS	561				hypothetical protein
OEILGKOC_00021	gene	3318	dnaE2			
OEILGKOC_00021	CDS	3318	dnaE2	2.7.7.7		Error-prone DNA polymerase
OEILGKOC_00022	gene	726	trmB			
