BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.1.region001	NZ_ATVN01000003.1	Pseudorhodobacter ferrugineus strain DSM 5888	NRPS	NRPS	Pseudorhodobacter ferrugineus DSM 5888..	
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000035.1.region001	NZ_JFGS01000035.1	Haematobacter missouriensis strain CCUG52307	NRPS	NRPS	Haematobacter missouriensis CCUG52307..	
GCF_000740785.1_Paenirhodobacter_enshiensis_DW2-9-NZ_JFZB01000007.1.region001	NZ_JFZB01000007.1	Paenirhodobacter enshiensis strain DW2-9	NRPS-like	NRPS	Paenirhodobacter enshiensis DW2-9..	
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000090.1.region001	NZ_LGIC01000090.1	Cypionkella psychrotolerans strain PAMC27389	NRPS-like	NRPS	Cypionkella psychrotolerans PAMC27389..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000093.1.region001	NZ_PZKG01000093.1	Cereibacter changlensis strain JA139JA139	NRPS-like	NRPS	Cereibacter changlensis JA139JA139..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000004.1.region001	NZ_QEYD01000004.1	Pararhodobacter marinus strain CIC4N-9	NRPS-like	NRPS	Pararhodobacter marinus CIC4N-9..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000012.1.region001	NZ_QKZO01000012.1	Rhodobacter capsulatus strain DSM 1710	NRPS-like	NRPS	Rhodobacter capsulatus DSM 1710..	
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000001.1.region001	NZ_QNHG01000001.1	Pseudogemmobacter bohemicus strain Cd-10	NRPS-like	NRPS	Pseudogemmobacter bohemicus Cd-10..	
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000004.1.region001	NZ_QNHG01000004.1	Pseudogemmobacter bohemicus strain Cd-10	NRPS-like.NRPS	NRPS	Pseudogemmobacter bohemicus Cd-10..	
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000003.1.region001	NZ_REEZ01000003.1	Pararhodobacter zhoushanensis strain ZQ420	NRPS-like	NRPS	Pararhodobacter zhoushanensis ZQ420..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region007	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	NRPS	NRPS	Roseicitreum antarcticum ZS2-28..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000007.1.region001	NZ_FNEA01000007.1	Paracoccus denitrificans strain DSM 413	NRPS	NRPS	Paracoccus denitrificans DSM 413..	
