locus_tag	ftype	length_bp	gene	EC_number	COG	product
DPKFPEHH_00001	gene	420				
DPKFPEHH_00001	CDS	420				hypothetical protein
DPKFPEHH_00002	gene	333				
DPKFPEHH_00002	CDS	333				hypothetical protein
DPKFPEHH_00003	gene	279				
DPKFPEHH_00003	CDS	279				hypothetical protein
DPKFPEHH_00004	gene	474				
DPKFPEHH_00004	CDS	474				hypothetical protein
DPKFPEHH_00005	gene	2253				
DPKFPEHH_00005	CDS	2253				hypothetical protein
DPKFPEHH_00006	gene	1368				
DPKFPEHH_00006	CDS	1368				hypothetical protein
DPKFPEHH_00007	gene	435				
DPKFPEHH_00007	CDS	435				hypothetical protein
DPKFPEHH_00008	gene	354				
DPKFPEHH_00008	CDS	354				hypothetical protein
DPKFPEHH_00009	gene	1566				
DPKFPEHH_00009	CDS	1566				IS66 family transposase ISPye14
DPKFPEHH_00010	gene	672				
DPKFPEHH_00010	CDS	672				hypothetical protein
DPKFPEHH_00011	gene	339				
DPKFPEHH_00011	CDS	339				hypothetical protein
DPKFPEHH_00012	gene	2277				
DPKFPEHH_00012	CDS	2277				hypothetical protein
DPKFPEHH_00013	gene	426				
DPKFPEHH_00013	CDS	426				hypothetical protein
DPKFPEHH_00014	gene	633	gph_1			
DPKFPEHH_00014	CDS	633	gph_1	3.1.3.18		Phosphoglycolate phosphatase
DPKFPEHH_00015	gene	705	hisG			
DPKFPEHH_00015	CDS	705	hisG	2.4.2.17		ATP phosphoribosyltransferase
DPKFPEHH_00016	gene	1125	hisZ			
DPKFPEHH_00016	CDS	1125	hisZ			ATP phosphoribosyltransferase regulatory subunit
DPKFPEHH_00017	gene	1506	hisS			
DPKFPEHH_00017	CDS	1506	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
DPKFPEHH_00018	gene	207	slyX			
DPKFPEHH_00018	CDS	207	slyX			Protein SlyX
DPKFPEHH_00019	gene	345				
DPKFPEHH_00019	CDS	345				hypothetical protein
DPKFPEHH_00020	gene	438				
DPKFPEHH_00020	CDS	438				hypothetical protein
DPKFPEHH_00021	gene	1653	groL			
DPKFPEHH_00021	CDS	1653	groL		COG0459	60 kDa chaperonin
DPKFPEHH_00022	gene	288	groS1			
DPKFPEHH_00022	CDS	288	groS1		COG0234	10 kDa chaperonin 1
DPKFPEHH_00023	gene	513				
DPKFPEHH_00023	CDS	513				hypothetical protein
DPKFPEHH_00024	gene	1140	hipO_1			
DPKFPEHH_00024	CDS	1140	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
DPKFPEHH_00025	gene	720				
DPKFPEHH_00025	CDS	720				hypothetical protein
DPKFPEHH_00026	gene	921	ppaC			
DPKFPEHH_00026	CDS	921	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
DPKFPEHH_00027	gene	1251				
DPKFPEHH_00027	CDS	1251		3.4.11.-	COG2309	Aminopeptidase T
DPKFPEHH_00028	gene	882				
DPKFPEHH_00028	CDS	882				hypothetical protein
DPKFPEHH_00029	gene	639	rplY			
DPKFPEHH_00029	CDS	639	rplY		COG1825	50S ribosomal protein L25
DPKFPEHH_00030	gene	696	pth			
DPKFPEHH_00030	CDS	696	pth	3.1.1.29		Peptidyl-tRNA hydrolase
DPKFPEHH_00031	gene	873	hemF			
DPKFPEHH_00031	CDS	873	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
DPKFPEHH_00032	gene	3495	dnaE1			
DPKFPEHH_00032	CDS	3495	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
DPKFPEHH_00033	gene	1386				
DPKFPEHH_00033	CDS	1386				hypothetical protein
DPKFPEHH_00034	gene	2364	xdhA			
DPKFPEHH_00034	CDS	2364	xdhA	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
DPKFPEHH_00035	gene	945				
DPKFPEHH_00035	CDS	945				hypothetical protein
DPKFPEHH_00036	gene	1521	rbsA_1			
DPKFPEHH_00036	CDS	1521	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
DPKFPEHH_00037	gene	1122				
DPKFPEHH_00037	CDS	1122				hypothetical protein
DPKFPEHH_00038	gene	933				
DPKFPEHH_00038	CDS	933				hypothetical protein
DPKFPEHH_00039	gene	1089				
DPKFPEHH_00039	CDS	1089				Purine-binding protein
DPKFPEHH_00040	gene	351				
DPKFPEHH_00040	CDS	351				hypothetical protein
DPKFPEHH_00041	gene	660				
DPKFPEHH_00041	CDS	660				hypothetical protein
DPKFPEHH_00042	gene	648				
DPKFPEHH_00042	CDS	648				hypothetical protein
DPKFPEHH_00043	gene	780				
DPKFPEHH_00043	CDS	780				hypothetical protein
DPKFPEHH_00044	gene	951				
DPKFPEHH_00044	CDS	951				hypothetical protein
DPKFPEHH_00045	gene	1041	hemE			
DPKFPEHH_00045	CDS	1041	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
DPKFPEHH_00046	gene	945	dusA			
