locus_tag	ftype	length_bp	gene	EC_number	COG	product
BNFEMFIJ_00001	gene	945				
BNFEMFIJ_00001	CDS	945		1.8.3.7	COG1262	Formylglycine-generating enzyme
BNFEMFIJ_00002	gene	1608	serA			
BNFEMFIJ_00002	CDS	1608	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
BNFEMFIJ_00003	gene	1158	serC			
BNFEMFIJ_00003	CDS	1158	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
BNFEMFIJ_00004	gene	879				
BNFEMFIJ_00004	CDS	879				hypothetical protein
BNFEMFIJ_00005	gene	1536				
BNFEMFIJ_00005	CDS	1536				hypothetical protein
BNFEMFIJ_00006	gene	1149				
BNFEMFIJ_00006	CDS	1149				hypothetical protein
BNFEMFIJ_00007	gene	918	cntI_1			
BNFEMFIJ_00007	CDS	918	cntI_1			Pseudopaline exporter CntI
BNFEMFIJ_00008	gene	75				
BNFEMFIJ_00008	tRNA	75				tRNA-Phe(gaa)
BNFEMFIJ_00009	gene	2661				
BNFEMFIJ_00009	CDS	2661				hypothetical protein
BNFEMFIJ_00010	gene	429				
BNFEMFIJ_00010	CDS	429				hypothetical protein
BNFEMFIJ_00011	gene	264				
BNFEMFIJ_00011	CDS	264				hypothetical protein
BNFEMFIJ_00012	gene	897	dmlR_1			
BNFEMFIJ_00012	CDS	897	dmlR_1			HTH-type transcriptional regulator DmlR
BNFEMFIJ_00013	gene	1476	thi4			
BNFEMFIJ_00013	CDS	1476	thi4	2.4.2.59		Thiamine thiazole synthase
BNFEMFIJ_00014	gene	441				
BNFEMFIJ_00014	CDS	441				hypothetical protein
BNFEMFIJ_00015	gene	1179				
BNFEMFIJ_00015	CDS	1179				hypothetical protein
BNFEMFIJ_00016	gene	453	decR_1			
BNFEMFIJ_00016	CDS	453	decR_1		COG1522	DNA-binding transcriptional activator DecR
BNFEMFIJ_00017	gene	693				
BNFEMFIJ_00017	CDS	693				hypothetical protein
BNFEMFIJ_00018	gene	297				
BNFEMFIJ_00018	CDS	297				hypothetical protein
BNFEMFIJ_00019	gene	789	calA_1			
BNFEMFIJ_00019	CDS	789	calA_1	1.1.1.194		Coniferyl-alcohol dehydrogenase
BNFEMFIJ_00020	gene	894	tsaR			
BNFEMFIJ_00020	CDS	894	tsaR			HTH-type transcriptional regulator TsaR
BNFEMFIJ_00021	gene	1029	tsaT_1			
BNFEMFIJ_00021	CDS	1029	tsaT_1			Outer membrane transporter protein TsaT
BNFEMFIJ_00022	gene	471				
BNFEMFIJ_00022	CDS	471				hypothetical protein
BNFEMFIJ_00023	gene	1296	dctM_1			
BNFEMFIJ_00023	CDS	1296	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
BNFEMFIJ_00024	gene	1476	davD_1			
BNFEMFIJ_00024	CDS	1476	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
BNFEMFIJ_00025	gene	1362	hyuP			
BNFEMFIJ_00025	CDS	1362	hyuP			Hydantoin permease
BNFEMFIJ_00026	gene	696	hyuA			
BNFEMFIJ_00026	CDS	696	hyuA	5.1.99.5	COG4126	Hydantoin racemase
BNFEMFIJ_00027	gene	792				
BNFEMFIJ_00027	CDS	792				hypothetical protein
BNFEMFIJ_00028	gene	903	dmlR_2			
BNFEMFIJ_00028	CDS	903	dmlR_2			HTH-type transcriptional regulator DmlR
BNFEMFIJ_00029	gene	486	allA			
BNFEMFIJ_00029	CDS	486	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
BNFEMFIJ_00030	gene	966	arcB_1			
BNFEMFIJ_00030	CDS	966	arcB_1	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
BNFEMFIJ_00031	gene	1440	pucI			
BNFEMFIJ_00031	CDS	1440	pucI		COG1953	putative allantoin permease
BNFEMFIJ_00032	gene	1164	dhaa			
BNFEMFIJ_00032	CDS	1164	dhaa	4.1.3.41	COG3616	3-hydroxy-D-aspartate aldolase
BNFEMFIJ_00033	gene	969	thadh_1			
BNFEMFIJ_00033	CDS	969	thadh_1	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
BNFEMFIJ_00034	gene	1194	sgaA_1			
BNFEMFIJ_00034	CDS	1194	sgaA_1	2.6.1.45		Serine--glyoxylate aminotransferase
BNFEMFIJ_00035	gene	738	iclR_1			
