locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGLDBBKK_00001	gene	1320				
NGLDBBKK_00001	CDS	1320				hypothetical protein
NGLDBBKK_00002	gene	474				
NGLDBBKK_00002	CDS	474				hypothetical protein
NGLDBBKK_00003	gene	2343	actP_1			
NGLDBBKK_00003	CDS	2343	actP_1	7.2.2.9		Copper-transporting P-type ATPase
NGLDBBKK_00004	gene	921				
NGLDBBKK_00004	CDS	921				hypothetical protein
NGLDBBKK_00005	gene	1323	pcaB			
NGLDBBKK_00005	CDS	1323	pcaB	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
NGLDBBKK_00006	gene	861	kce_1			
NGLDBBKK_00006	CDS	861	kce_1	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
NGLDBBKK_00007	gene	612	pcaG			
NGLDBBKK_00007	CDS	612	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
NGLDBBKK_00008	gene	723	pcaH			
NGLDBBKK_00008	CDS	723	pcaH	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
NGLDBBKK_00009	gene	396				
NGLDBBKK_00009	CDS	396				hypothetical protein
NGLDBBKK_00010	gene	786	catD_1			
NGLDBBKK_00010	CDS	786	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
NGLDBBKK_00011	gene	906	gbpR_1			
NGLDBBKK_00011	CDS	906	gbpR_1			HTH-type transcriptional regulator GbpR
NGLDBBKK_00012	gene	1881				
NGLDBBKK_00012	CDS	1881				hypothetical protein
NGLDBBKK_00013	gene	846	aroE_1			
NGLDBBKK_00013	CDS	846	aroE_1	1.1.1.-		Quinate/shikimate dehydrogenase (NAD(+))
NGLDBBKK_00014	gene	1041	gfo			
NGLDBBKK_00014	CDS	1041	gfo	1.1.99.28		Glucose--fructose oxidoreductase
NGLDBBKK_00015	gene	1497				
NGLDBBKK_00015	CDS	1497				hypothetical protein
NGLDBBKK_00016	gene	516				
NGLDBBKK_00016	CDS	516				hypothetical protein
NGLDBBKK_00017	gene	993				
NGLDBBKK_00017	CDS	993				hypothetical protein
NGLDBBKK_00018	gene	915				
NGLDBBKK_00018	CDS	915				hypothetical protein
NGLDBBKK_00019	gene	786	iclR_1			
NGLDBBKK_00019	CDS	786	iclR_1		COG1414	Transcriptional repressor IclR
NGLDBBKK_00020	gene	1686	kstD			
NGLDBBKK_00020	CDS	1686	kstD	1.3.99.4		3-oxosteroid 1-dehydrogenase
NGLDBBKK_00021	gene	831				
NGLDBBKK_00021	CDS	831				hypothetical protein
NGLDBBKK_00022	gene	621	fixJ			
NGLDBBKK_00022	CDS	621	fixJ			Transcriptional regulatory protein FixJ
NGLDBBKK_00023	gene	1935	sasA_1			
NGLDBBKK_00023	CDS	1935	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NGLDBBKK_00024	gene	1005	dctP_1			
NGLDBBKK_00024	CDS	1005	dctP_1		COG1638	C4-dicarboxylate-binding periplasmic protein DctP
NGLDBBKK_00025	gene	630	dctQ			
NGLDBBKK_00025	CDS	630	dctQ		COG3090	C4-dicarboxylate TRAP transporter small permease protein DctQ
NGLDBBKK_00026	gene	1323	dctM_1			
NGLDBBKK_00026	CDS	1323	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
NGLDBBKK_00027	gene	1014				
NGLDBBKK_00027	CDS	1014		2.7.13.3		Blue-light-activated histidine kinase
NGLDBBKK_00028	gene	1512				
NGLDBBKK_00028	CDS	1512				hypothetical protein
NGLDBBKK_00029	gene	480				
NGLDBBKK_00029	CDS	480				hypothetical protein
NGLDBBKK_00030	gene	999				
NGLDBBKK_00030	CDS	999				hypothetical protein
NGLDBBKK_00031	gene	936				
NGLDBBKK_00031	CDS	936				hypothetical protein
NGLDBBKK_00032	gene	996	apsD			
NGLDBBKK_00032	CDS	996	apsD	1.1.1.-		D-apiose dehydrogenase
NGLDBBKK_00033	gene	696	lldR_1			
NGLDBBKK_00033	CDS	696	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
NGLDBBKK_00034	gene	249				
NGLDBBKK_00034	CDS	249				hypothetical protein
NGLDBBKK_00035	gene	990				
NGLDBBKK_00035	CDS	990				hypothetical protein
NGLDBBKK_00036	gene	1074				
NGLDBBKK_00036	CDS	1074				hypothetical protein
NGLDBBKK_00037	gene	384				
NGLDBBKK_00037	CDS	384				hypothetical protein
NGLDBBKK_00038	gene	77				
NGLDBBKK_00038	tRNA	77				tRNA-Met(cat)
NGLDBBKK_00039	gene	2163	selD			
NGLDBBKK_00039	CDS	2163	selD	2.7.9.3		Selenide, water dikinase
NGLDBBKK_00040	gene	1062	selU			
NGLDBBKK_00040	CDS	1062	selU	2.5.1.-		tRNA 2-selenouridine synthase
NGLDBBKK_00041	gene	576				
NGLDBBKK_00041	CDS	576				hypothetical protein
NGLDBBKK_00042	gene	204				
NGLDBBKK_00042	CDS	204				hypothetical protein
NGLDBBKK_00043	gene	1284	amiC_1			
NGLDBBKK_00043	CDS	1284	amiC_1			Aliphatic amidase expression-regulating protein
NGLDBBKK_00044	gene	1587				
NGLDBBKK_00044	CDS	1587				hypothetical protein
NGLDBBKK_00045	gene	99				
NGLDBBKK_00045	CDS	99				hypothetical protein
NGLDBBKK_00046	gene	1104				
NGLDBBKK_00046	CDS	1104				hypothetical protein
NGLDBBKK_00047	gene	738	nrtD_1			
NGLDBBKK_00047	CDS	738	nrtD_1	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
NGLDBBKK_00048	gene	696	livF_1			
NGLDBBKK_00048	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
NGLDBBKK_00049	gene	2481	actP_2			
NGLDBBKK_00049	CDS	2481	actP_2	7.2.2.9		Copper-transporting P-type ATPase
NGLDBBKK_00050	gene	2502				
NGLDBBKK_00050	CDS	2502				hypothetical protein
NGLDBBKK_00051	gene	720	lolD_1			
NGLDBBKK_00051	CDS	720	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NGLDBBKK_00052	gene	666	tesA			
NGLDBBKK_00052	CDS	666	tesA	3.1.1.1	COG2755	Esterase TesA
NGLDBBKK_00053	gene	678	yceI_1			
NGLDBBKK_00053	CDS	678	yceI_1		COG2353	Protein YceI
NGLDBBKK_00054	gene	2037	stcD			
NGLDBBKK_00054	CDS	2037	stcD	1.-.-.-		putative N-methylproline demethylase
NGLDBBKK_00055	gene	1401				
NGLDBBKK_00055	CDS	1401		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NGLDBBKK_00056	gene	939	hemC			
NGLDBBKK_00056	CDS	939	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
NGLDBBKK_00057	gene	1044	hemE			
NGLDBBKK_00057	CDS	1044	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
