#BGC Name	Clan Number	Family Number
GCF_000420745.1_Pseudorhodobacter_ferrugineus_DSM_5888-NZ_ATVN01000003.region001	1	1
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000012.region001	9	9
GCF_000740775.1_Haematobacter_missouriensis_CCUG_52307-NZ_JFGS01000018.region001	15	15
GCF_002871005.1_Acidimangrovimonas_sediminis_MS2-2-NZ_PHSN01000005.region001	36	36
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000001.region003	42	42
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000006.region001	47	47
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000002.region001	48	48
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000065.region001	54	54
GCF_003075525.1_Pararhodobacter_aggregans_D1-19-NZ_QDDR01000001.region001	66	66
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000003.region001	70	70
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000007.region002	76	76
GCF_003990445.1_Pararhodobacter_zhoushanensis_ZQ420-NZ_REEZ01000002.region001	76	76
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000008.region001	81	81
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000007.region001	87	87
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000053.region001	90	90
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000032.region001	99	99
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000006.region001	109	109
GCF_009908165.1_Frigidibacter_albus_SP32-c00039_NZ_JAAA...region001	111	111
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000287.region001	125	125
GCF_023336755.1_Roseibaca_sp.V10_V10-c00008_NZ_JALZ...region001	131	131
GCF_023336755.1_Roseibaca_sp.V10_V10-c00009_NZ_JALZ...region001	132	132
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000019.region001	132	132
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000006.region001	135	135
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000012.region001	137	137
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000030.region001	142	142
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000001.region001	143	143
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000070.region001	151	151
