locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFJPPCDH_00001	gene	405				
IFJPPCDH_00001	CDS	405				hypothetical protein
IFJPPCDH_00002	gene	1179	argD			
IFJPPCDH_00002	CDS	1179	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
IFJPPCDH_00003	gene	927	argF_1			
IFJPPCDH_00003	CDS	927	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
IFJPPCDH_00004	gene	1398	gndA			
IFJPPCDH_00004	CDS	1398	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
IFJPPCDH_00005	gene	2469	hrpB			
IFJPPCDH_00005	CDS	2469	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
IFJPPCDH_00006	gene	2949				
IFJPPCDH_00006	CDS	2949				hypothetical protein
IFJPPCDH_00007	gene	10047	dltA			
IFJPPCDH_00007	CDS	10047	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
IFJPPCDH_00008	gene	1497				
IFJPPCDH_00008	CDS	1497				hypothetical protein
IFJPPCDH_00009	gene	603	pglC_1			
IFJPPCDH_00009	CDS	603	pglC_1	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
IFJPPCDH_00010	gene	147				
IFJPPCDH_00010	CDS	147				hypothetical protein
IFJPPCDH_00011	gene	969				
IFJPPCDH_00011	CDS	969				hypothetical protein
IFJPPCDH_00012	gene	1740	apc4_1			
IFJPPCDH_00012	CDS	1740	apc4_1	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
IFJPPCDH_00013	gene	2055	apc3_1			
IFJPPCDH_00013	CDS	2055	apc3_1	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
IFJPPCDH_00014	gene	1677	fhs			
IFJPPCDH_00014	CDS	1677	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
IFJPPCDH_00015	gene	903	folD			
IFJPPCDH_00015	CDS	903	folD		COG0190	Bifunctional protein FolD protein
IFJPPCDH_00016	gene	435				
IFJPPCDH_00016	CDS	435				hypothetical protein
IFJPPCDH_00017	gene	807				
IFJPPCDH_00017	CDS	807				hypothetical protein
IFJPPCDH_00018	gene	1314				
IFJPPCDH_00018	CDS	1314				hypothetical protein
IFJPPCDH_00019	gene	498				
IFJPPCDH_00019	CDS	498				hypothetical protein
IFJPPCDH_00020	gene	858				
IFJPPCDH_00020	CDS	858				hypothetical protein
IFJPPCDH_00021	gene	624				
IFJPPCDH_00021	CDS	624				hypothetical protein
IFJPPCDH_00022	gene	1005				
IFJPPCDH_00022	CDS	1005				hypothetical protein
IFJPPCDH_00023	gene	969				
IFJPPCDH_00023	CDS	969				hypothetical protein
IFJPPCDH_00024	gene	1464				
IFJPPCDH_00024	CDS	1464				hypothetical protein
IFJPPCDH_00025	gene	1287				
IFJPPCDH_00025	CDS	1287				hypothetical protein
IFJPPCDH_00026	gene	657	pal_1			
IFJPPCDH_00026	CDS	657	pal_1			Peptidoglycan-associated lipoprotein
IFJPPCDH_00027	gene	1419	sctC_1			
IFJPPCDH_00027	CDS	1419	sctC_1			Type 3 secretion system secretin
IFJPPCDH_00028	gene	876				
IFJPPCDH_00028	CDS	876				hypothetical protein
IFJPPCDH_00029	gene	213				
IFJPPCDH_00029	CDS	213				hypothetical protein
IFJPPCDH_00030	gene	225				
IFJPPCDH_00030	CDS	225				hypothetical protein
IFJPPCDH_00031	gene	987				
IFJPPCDH_00031	CDS	987				hypothetical protein
IFJPPCDH_00032	gene	318				
IFJPPCDH_00032	CDS	318				hypothetical protein
IFJPPCDH_00033	gene	627	scoB			
IFJPPCDH_00033	CDS	627	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
IFJPPCDH_00034	gene	705	scoA			
IFJPPCDH_00034	CDS	705	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
IFJPPCDH_00035	gene	348				
