locus_tag	ftype	length_bp	gene	EC_number	COG	product
MPBPDOGJ_00001	gene	74				
MPBPDOGJ_00001	tRNA	74				tRNA-Cys(gca)
MPBPDOGJ_00002	gene	76				
MPBPDOGJ_00002	tRNA	76				tRNA-Arg(cct)
MPBPDOGJ_00003	gene	1026	gntR_1			
MPBPDOGJ_00003	CDS	1026	gntR_1			HTH-type transcriptional regulator GntR
MPBPDOGJ_00004	gene	1641				
MPBPDOGJ_00004	CDS	1641		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MPBPDOGJ_00005	gene	411				
MPBPDOGJ_00005	CDS	411				hypothetical protein
MPBPDOGJ_00006	gene	1203	rfnT			
MPBPDOGJ_00006	CDS	1203	rfnT			Riboflavin transporter RfnT
MPBPDOGJ_00007	gene	645				
MPBPDOGJ_00007	CDS	645				hypothetical protein
MPBPDOGJ_00008	gene	663	estB			
MPBPDOGJ_00008	CDS	663	estB	3.1.1.1	COG0400	Carboxylesterase 2
MPBPDOGJ_00009	gene	585				
MPBPDOGJ_00009	CDS	585				hypothetical protein
MPBPDOGJ_00010	gene	951	gpuA			
MPBPDOGJ_00010	CDS	951	gpuA	3.5.3.17	COG0010	Guanidinopropionase
MPBPDOGJ_00011	gene	1458	zwf			
MPBPDOGJ_00011	CDS	1458	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
MPBPDOGJ_00012	gene	669	pgl			
MPBPDOGJ_00012	CDS	669	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
MPBPDOGJ_00013	gene	1611	pgi			
MPBPDOGJ_00013	CDS	1611	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
MPBPDOGJ_00014	gene	483				
MPBPDOGJ_00014	CDS	483				hypothetical protein
MPBPDOGJ_00015	gene	1452				
MPBPDOGJ_00015	CDS	1452				hypothetical protein
MPBPDOGJ_00016	gene	465	bcp_1			
MPBPDOGJ_00016	CDS	465	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
MPBPDOGJ_00017	gene	921	cntI_1			
MPBPDOGJ_00017	CDS	921	cntI_1			Pseudopaline exporter CntI
MPBPDOGJ_00018	gene	435	dtd			
MPBPDOGJ_00018	CDS	435	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
MPBPDOGJ_00019	gene	960	purC_1			
MPBPDOGJ_00019	CDS	960	purC_1	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
MPBPDOGJ_00020	gene	1176				
MPBPDOGJ_00020	CDS	1176				hypothetical protein
MPBPDOGJ_00021	gene	1128				
MPBPDOGJ_00021	CDS	1128				hypothetical protein
MPBPDOGJ_00022	gene	519				
